"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"YOR380W",4.642,4.528,4.692,5.894,5.774,5.755
"YOR381W",3.959,3.326,5.027,5.963,6.599,6.223
"YOR382W",0,0,1.704,3.288,3.117,3.131
"YOR383C",0,1.002,0,4.094,4.031,3.8
"YOR384W",1.439,1.002,1.704,6.153,6.022,6.092
"YOR385W",2.805,3.174,2.959,5.745,5.774,5.314
"YOR386W",1.439,2.589,2.464,6.211,6.744,7.011
"YOR387C",0.892,0,0,3.055,4.336,4.522
"YOR389W",2.617,2.326,1.704,3.666,3.117,2.626
"YOR390W",2.972,2.589,2.959,4.094,3.646,4.154
"YOR392W",0,1.002,1.704,0,0,1.197
"YPL001W",4.37,4.252,4.071,4.608,4.587,5.217
"YPL002C",5.587,4.759,6.15,6.935,7.147,7.162
"YPL003W",5.173,5.982,5.9,6.447,6.417,6.724
"YPL004C",8.038,8.01,8.408,8.917,9.013,8.932
"YPL005W",5.395,5.431,5.726,6.321,6.48,6.146
"YPL006W",6.875,6.559,7.825,8.751,8.699,8.589
"YPL007C",5.453,5.049,5.027,3.666,3.914,4.676
"YPL008W",5.561,5.759,5.456,5.578,5.595,5.61
"YPL009C",7.006,8.129,6.239,6.952,7.107,7.175
"YPL010W",6.72,6.719,7.229,5.894,5.595,6.146
"YPL011C",5.845,5.677,5.9,5.114,5.434,5.448
"YPL012W",6.672,6.175,6.942,6.751,6.673,7.095
"YPL013C",6.684,7.746,6.681,5.997,6.257,5.855
"YPL014W",5.662,6.397,5.954,6.239,5.74,5.979
"YPL015C",5.395,5.812,6.477,5.894,6.05,5.61
"YPL016W",7.354,7.982,7.019,7.498,7.813,7.597
"YPL017C",4.642,4.528,5.787,6.182,6.131,5.789
"YPL018W",4.539,5.049,5.3,6.447,6.157,6.223
"YPL019C",6.286,5.812,6.743,7.082,7.08,7.109
"YPL020C",6.238,7.194,5.3,5.664,6.131,6.366
"YPL021W",1.439,1.002,0,2.775,1.831,2.626
"YPL022W",6.45,6.397,7.044,7.258,7.295,7.136
"YPL023C",5.103,5.134,6.103,6.093,5.964,5.979
"YPL024W",5.734,6.362,5.456,6.471,6.328,5.855
"YPL025C",1.835,1.588,0,2.429,2.613,2.626
"YPL026C",7.848,7.856,7.84,8.873,8.898,9.021
"YPL027W",2.145,2.589,3.863,3.055,1.189,2.626
"YPL028W",6.947,6.397,7.767,8.123,7.961,7.892
"YPL029W",5.845,5.559,6.195,6.267,6.438,6.495
"YPL030W",4.485,3.326,5.3,4.918,5.152,4.747
"YPL031C",6.286,6.29,6.86,7.187,7.198,7.136
"YPL032C",7.707,7.318,7.505,7.783,7.869,7.77
"YPL033C",0,2.003,0,0,1.831,1.197
"YPL034W",4.309,4.705,2.959,4.213,4.927,4.35
"YPL035C",3.38,4.092,2.959,3.288,4.031,3.329
"YPL036W",3.6,2.589,4.692,4.608,4.987,4.88
"YPL037C",7.628,7.719,8.087,6.471,6.811,6.759
"YPL038W",4.109,4.705,4.414,2.429,4.424,3.8
"YPL038W-A",1.439,2.811,0,1.3,2.274,0
"YPL039W",5.24,4.911,4.924,5.114,5.774,5.648
"YPL040C",5.587,5.528,6.055,6.563,6.952,6.453
"YPL041C",4.109,3.589,5.027,4.847,5.203,4.601
"YPL042C",6.333,5.959,7.019,6.347,6.417,6.474
"YPL043W",6.317,6.982,6.055,6.153,6.373,6.41
"YPL044C",4.591,4.092,4.253,4.322,2.613,4.154
"YPL045W",6.348,5.732,6.323,6.423,6.281,6.296
"YPL046C",4.485,4.812,3.62,4.322,4.587,4.601
"YPL047W",4.37,3.812,4.692,5.533,4.865,5.058
"YPL048W",5.613,6.29,6.681,7.034,7.16,6.891
"YPL049C",4.69,4.862,5.456,5.173,5.044,5.267
"YPL050C",6.896,6.48,6.888,6.347,6.131,6.388
"YPL051W",4.37,4.862,3.327,4.322,4.031,5.166
"YPL052W",6.082,6.253,6.195,5.894,6.58,6.119
"YPL053C",7.044,6.838,7.185,6.691,6.967,7.082
"YPL054W",4.783,4.959,4.924,6.607,6.58,6.967
"YPL055C",4.991,6.113,5.124,4.918,5.556,5.267
"YPL056C",3.38,4.705,4.414,3.823,4.508,3.66
"YPL057C",7.558,7.875,7.642,7.954,7.946,7.853
"YPL058C",10.198,9.915,11.155,10.851,10.689,10.725
"YPL059W",6.672,6.344,7.45,6.182,6.438,5.979
"YPL060W",4.539,4.528,3.62,4.608,4.927,4.88
"YPL061W",8.9,9.046,9.526,7.734,7.877,7.869
"YPL062W",0.892,2.326,2.959,0,2.613,1.197
"YPL063W",6.082,6.899,5.726,6.447,6.438,6.688
"YPL064C",5.103,5.837,4.924,5.821,5.346,5.61
"YPL065W",5.03,5.252,4.692,4.519,4.662,5.491
"YPL066W",5.335,5.397,4.071,5.929,5.808,5.61
"YPL067C",2.145,3.464,4.692,3.288,2.274,3.131
"YPL068C",2.972,4.174,3.863,3.666,3.646,3.504
"YPL069C",4.827,4.397,4.071,4.918,4.241,4.439
"YPL070W",6.171,5.648,5.787,5.858,6.795,6.556
"YPL071C",5.335,6.154,4.56,5.705,5.346,5.755
"YPL072W",4.591,5.464,3.863,5.114,4.987,4.747
"YPL073C",2.617,2.003,2.464,3.288,2.887,3.131
"YPL074W",5.908,5.911,6.103,6.751,6.922,6.952
"YPL075W",5.929,6.705,5.844,7.954,7.991,8.041
"YPL076W",4.036,3.911,4.924,5.39,4.987,5.491
"YPL077C",4.246,3.464,4.56,3.288,4.733,4.154
"YPL078C",10.169,10.506,10.213,9.205,9.497,9.497
"YPL079W",7.244,6.528,7.84,5.997,6.561,6.146
"YPL080C",3.257,4.174,4.071,3.49,3.316,3.504
"YPL081W",6.886,6.648,6.773,6.347,6.637,6.576
"YPL082C",7.695,7.48,8.111,8.314,8.431,8.441
"YPL083C",4.827,4.326,5.3,4.847,4.987,5.217
"YPL084W",5.613,5.431,6.15,6.65,6.637,6.967
"YPL085W",7.006,7.993,7.523,8.145,8.2,7.787
"YPL086C",6.238,5.528,6.86,6.029,5.774,5.648
"YPL087W",7.971,8.129,8.399,8.904,8.862,8.845
"YPL088W",6.286,6.175,7.093,7.216,7.364,7.068
"YPL089C",4.827,6.005,5.38,5.784,5.808,5.823
"YPL090C",4.69,3.705,5.027,3.49,3.117,3.66
"YPL091W",9.014,8.726,9.708,8.951,8.943,8.866
"YPL092W",7.671,7.528,8.519,7.172,7.342,6.843
"YPL093W",6.906,6.48,7.706,6.628,6.922,6.556
"YPL094C",6.957,7.812,6.832,6.846,7.147,7.287
"YPL095C",6.171,5.705,6.323,9.864,9.946,9.878
"YPL096C-A",4.69,4.004,4.56,4.608,4.031,4.522
"YPL096W",5.481,5.935,6.005,6.373,6.521,6.248
"YPL097W",5.508,5.496,5.954,5.533,5.517,5.001
"YPL098C",4.591,5.005,5.124,4.094,2.887,3.928
"YPL099C",4.737,4.759,5.215,4.519,4.508,4.256
"YPL100W",5.71,5.677,6.363,6.182,5.774,6.172
"YPL101W",4.952,4.812,5.456,5.858,5.774,5.72
"YPL102C",1.439,1.588,0,1.972,1.189,0
"YPL103C",4.69,4.464,5.215,5.051,4.241,5.267
"YPL104W",5.908,5.732,5.598,5.533,5.099,5.72
"YPL105C",6.348,7.544,6.005,6.628,6.844,6.891
"YPL106C",9.546,10.187,10.089,8.218,8.181,8.189
"YPL107W",6.238,5.496,6.195,6.239,6.305,6.366
"YPL108W",3.38,4.004,3.863,2.775,2.613,3.329
"YPL109C",6.007,5.559,6.477,6.518,6.131,6.516
"YPL110C",6.171,6.308,6.773,7.216,7.039,6.875
"YPL111W",7.143,6.863,7.625,5.173,4.927,5.113
"YPL112C",6.007,5.812,6.103,5.963,6.022,5.855
"YPL113C",4.37,4.464,4.812,4.847,4.587,4.256
"YPL114W",2.972,3.326,4.071,3.055,2.887,3.329
"YPL115C",6.672,6.59,7.019,7.414,7.198,7.445
"YPL116W",5.561,5.464,5.9,6.093,6.257,5.918
"YPL117C",7.413,7.103,7.251,7.187,7.533,7.578
"YPL118W",6.732,7.134,6.994,6.211,6.561,6.296
"YPL119C",4.485,4.397,5.215,6.029,5.964,6.065
"YPL119C-A",2.617,3.705,1.704,4.519,4.662,4.522
"YPL120W",4.591,4.759,3.327,5.051,4.587,5.267
"YPL122C",5.453,5.049,5.663,5.821,5.434,5.36
"YPL123C",6.333,5.528,6.548,7.734,7.675,7.558
"YPL124W",3.6,3.174,2.464,2.775,1.189,2.287
"YPL125W",6.254,5.911,6.649,6.67,6.828,6.495
"YPL126W",6.8,6.113,6.994,6.917,6.844,6.843
"YPL127C",6.064,6.113,6.86,6.123,5.84,5.855
"YPL128C",5.481,5.431,5.954,6.093,5.964,5.571
"YPL129W",6.171,6.327,6.239,5.39,5.808,5.648
"YPL130W",0.892,2.003,2.464,0,1.831,1.197
"YPL131W",9.136,8.799,9.539,8.818,8.694,8.457
"YPL132W",6.007,6.027,5.663,5.339,5.346,5.571
"YPL133C",4.827,5.397,6.195,5.821,5.808,5.684
"YPL134C",7.117,6.97,7.782,7.201,7.147,7.188
"YPL135C-A",6.937,7.038,7.658,6.267,6.077,6.223
"YPL135W",9.155,9.285,9.49,8.029,7.846,7.752
"YPL136W",4.246,3.911,5.456,5.173,4.662,4.88
"YPL137C",8.057,8.044,9.172,8.904,8.854,8.821
"YPL138C",5.779,6.194,5.726,5.784,5.74,5.491
"YPL139C",5.686,5.935,6.055,6.447,6.373,5.855
"YPL140C",5.929,5.911,5.726,6.585,6.521,6.248
"YPL141C",5.734,4.911,4.924,4.918,5.044,4.439
"YPL142C",8.541,8.384,8.865,8.077,7.946,7.861
"YPL143W",8.368,8.336,8.655,7.802,7.582,7.946
"YPL144W",3.494,3.004,4.414,4.213,3.117,4.35
"YPL145C",7.186,6.648,7.334,7.426,7.729,7.528
"YPL146C",5.969,7.185,3.62,5.114,5.299,5.918
"YPL147W",5.365,5.252,5.38,6.211,6.395,6.366
"YPL148C",3.959,4.092,4.924,2.775,3.914,3.131
"YPL149W",5.395,5.786,6.103,6.061,5.705,5.755
"YPL150W",6.559,6.092,6.44,6.935,7.248,7.201
"YPL151C",5.067,5.648,5.844,6.123,5.993,6.037
"YPL152W",6.506,6.448,6.583,6.917,7.134,7.345
"YPL153C",5.139,4.911,4.812,5.114,5.476,5.058
"YPL154C",9.28,9.18,9.911,9.9,9.743,9.672
"YPL155C",5.067,4.464,5.954,5.705,5.252,5.448
"YPL156C",4.642,5.252,5.3,6.373,6.105,6.092
"YPL157W",4.309,4.004,4.924,4.519,4.336,4.747
"YPL158C",5.802,6.344,5.663,4.608,4.801,5.36
"YPL159C",6.348,6.786,6.583,7.475,7.523,7.39
"YPL160W",7.986,7.641,8.733,8.084,8.005,8.264
"YPL161C",5.139,4.911,4.924,4.519,4.865,4.256
"YPL162C",4.309,3.705,4.56,4.847,4.927,4.256
"YPL163C",4.246,5.214,5.3,3.965,3.316,4.35
"YPL164C",4.827,4.174,4.692,5.622,5.633,5.755
"YPL165C",5.481,5.326,5.663,6.751,6.709,6.652
"YPL166W",4.591,4.092,4.812,5.821,6.05,5.887
"YPL167C",5.662,6.027,5.663,6.952,6.844,7.109
"YPL168W",5.365,5.759,4.812,6.029,5.993,6.32
"YPL169C",6.66,6.746,7.019,5.929,6.157,6.223
"YPL170W",5.424,5.812,5.598,5.487,5.84,5.823
"YPL171C",9.241,9.157,10.308,7.325,7.375,7.109
"YPL172C",5.335,5.29,6.055,5.487,5.39,5.855
"YPL173W",6.238,6.154,5.598,5.664,5.434,5.789
"YPL174C",5.988,6.29,5.124,5.533,6.541,6.453
"YPL175W",5.638,5.214,6.103,5.286,5.152,5.448
"YPL176C",5.779,5.837,6.477,6.711,6.599,6.41
"YPL177C",5.887,6.431,5.844,5.487,5.099,5.113
"YPL178W",5.734,5.959,6.548,5.533,6.05,6.092
"YPL179W",8.268,7.918,9.12,9.054,9.055,9.035
"YPL180W",5.067,5.496,5.124,6.239,6.157,5.887
"YPL181W",5.613,6.414,5.38,6.846,7.272,6.536
"YPL182C",3.121,3.004,3.863,4.771,4.14,3.8
"YPL183C",5.561,5.005,6.477,6.711,6.58,6.633
"YPL183W-A",6.153,6.071,6.681,6.029,5.556,5.823
"YPL184C",6.254,6.663,6.86,6.952,6.744,6.759
"YPL185W",5.908,6.214,5.844,4.692,5.556,5.405
"YPL186C",7.683,8.452,6.681,8.045,8.212,8.392
"YPL187W",4.87,5.214,5.124,2.775,2.274,2.287
"YPL188W",5.779,5.464,6.055,5.578,5.152,5.217
"YPL189C-A",7.09,7.844,7.393,6.321,6.459,6.453
"YPL189W",4.591,4.174,5.456,4.424,4.587,4.676
"YPL190C",6.204,7.38,6.363,7.113,7.248,6.742
"YPL191C",4.309,3.911,3.62,4.519,4.508,4.601
"YPL192C",3.38,4.092,2.959,4.608,3.914,4.35
"YPL193W",4.87,5.464,3.327,4.519,5.774,5.61
"YPL194W",3.257,4.174,3.327,4.094,4.336,4.815
"YPL195W",6.917,6.993,6.803,6.585,6.982,7.068
"YPL196W",5.686,5.837,6.005,5.963,6.305,6.32
"YPL197C",4.309,4.705,5.215,4.322,3.914,4.747
"YPL198W",5.173,5.005,5.38,3.823,4.587,5.001
"YPL199C",5.587,5.705,5.787,4.918,5.346,5.113
"YPL200W",2.145,2.589,1.704,2.429,0,0
"YPL201C",5.508,6.253,6.195,1.972,2.887,2.287
"YPL202C",6.333,6.134,6.055,5.39,5.74,5.949
"YPL203W",6.363,5.911,7.251,7.271,7.353,7.054
"YPL204W",6.811,6.982,6.513,6.917,7.295,7.357
"YPL205C",4.37,5.464,4.414,5.231,4.987,4.88
"YPL206C",6.886,6.899,7.882,8.41,8.626,8.436
"YPL207W",7.538,7.48,8.099,7.839,7.908,7.803
"YPL208W",5.613,4.759,6.513,5.533,5.346,4.88
"YPL209C",2.972,4.174,2.464,1.972,3.117,3.8
"YPL210C",6.464,7.016,6.402,6.294,6.208,6.223
"YPL211W",5.561,4.862,5.598,4.847,4.801,3.928
"YPL212C",6.27,6.233,6.363,6.029,5.934,6.41
"YPL213W",5.779,5.863,5.215,6.061,6.077,6.172
"YPL214C",5.535,5.705,6.005,6.495,6.828,6.614
"YPL215W",5.949,6.48,6.86,6.423,5.993,5.789
"YPL216W",5.757,5.252,5.598,6.373,6.844,6.688
"YPL217C",7.449,7.677,7.044,7.704,7.805,7.892
"YPL218W",8.236,8.108,8.771,7.773,7.693,7.795
"YPL219W",5.686,5.214,6.281,6.917,6.417,6.296
"YPL220W",3.877,3.326,2.464,3.49,3.117,3.131
"YPL221W",8.296,7.875,9.217,8.977,8.73,8.646
"YPL222C-A",3.698,4.252,5.027,5.745,5.705,5.166
"YPL222W",6.064,6.38,7.163,8.167,8.155,7.726
"YPL223C",5.395,6.448,5.3,8.391,8.36,8.478
"YPL224C",5.969,6.005,6.548,5.963,5.84,5.855
"YPL225W",7.966,8.103,7.767,7.187,7.408,8.013
"YPL226W",7.926,7.214,8.563,8.506,8.431,8.282
"YPL227C",4.309,4.464,4.924,2.429,3.646,2.9
"YPL228W",4.783,5.29,5.124,4.847,5.633,6.008
"YPL229W",5.508,5.732,5.3,6.79,6.876,6.891
"YPL230W",4.642,5.214,4.56,6.882,6.709,6.937
"YPL231W",9.546,9.154,10.744,10.499,10.311,10.248
"YPL232W",6.546,6.863,7.207,6.827,6.828,6.906
"YPL233W",4.179,4.092,3.863,4.519,4.336,4.601
"YPL234C",7.456,7.464,8.001,8.092,7.78,7.828
"YPL235W",5.453,5.464,6.055,5.929,5.808,5.648
"YPL236C",5.365,5.397,5.456,6.093,5.872,6.065
"YPL237W",8.276,8.597,8.702,8.084,8.109,7.82
"YPL238C",7.108,8.027,7.825,7.097,7.419,7.368
"YPL239W",6.317,6.799,6.281,4.847,5.669,5.979
"YPL240C",9.198,10.46,9.352,8.601,9.069,9.021
"YPL241C",4.109,4.004,3.863,3.49,4.336,3.66
"YPL242C",6.546,6.308,6.968,5.821,6.131,6.343
"YPL243W",6.743,6.175,6.513,5.858,6.105,6.008
"YPL244C",5.24,5.092,6.195,4.213,4.927,4.35
"YPL245W",6.378,5.812,7.334,4.918,5.705,5.001
"YPL246C",5.481,5.619,6.513,4.986,5.299,5.217
"YPL247C",4.485,4.959,5.598,5.533,5.203,5.217
"YPL248C",4.783,5.214,6.103,6.123,6.131,5.684
"YPL249C",6.1,6.431,6.239,6.495,7.067,6.906
"YPL249C-A",7.961,8.124,8.001,7.216,6.996,7.162
"YPL250C",6.72,7.431,7.14,5.051,4.662,4.522
"YPL250W-A",7.754,7.719,8.075,6.935,6.744,7.095
"YPL251W",3.257,4.004,3.863,1.972,1.831,2.287
"YPL252C",4.991,4.759,5.215,4.519,3.117,3.131
"YPL253C",4.37,4.648,4.56,4.608,4.508,4.942
"YPL254W",4.991,5.29,4.924,5.051,5.517,5.36
"YPL255W",3.494,4.326,3.327,3.055,2.274,2.9
"YPL256C",4.912,5.005,5.787,3.288,4.241,3.504
"YPL257W",2.617,2.003,1.704,0,0,0
"YPL258C",3.877,3.705,4.56,4.213,5.252,4.256
"YPL259C",5.139,5.326,5.726,5.231,5.556,5.267
"YPL260W",7.869,8.219,7.737,8.053,8.174,8.09
"YPL261C",3.877,3.174,2.959,3.49,4.031,3.66
"YPL262W",9.254,8.982,9.925,7.158,7.121,6.997
"YPL263C",6.378,6.634,6.195,5.894,6.281,6.092
"YPL264C",5.335,5.174,5.663,5.487,5.633,5.217
"YPL265W",9.122,8.52,9.653,7.744,7.198,7.708
"YPL266W",6.61,6.092,6.649,6.347,6.395,6.343
"YPL267W",4.591,4.528,3.863,4.424,4.587,4.601
"YPL268W",6.118,6.214,5.954,6.77,6.795,6.633
"YPL269W",5.24,4.862,4.253,5.39,4.801,5.058
"YPL270W",6.937,6.59,7.116,7.172,7.039,6.81
"YPL271W",10.304,10.853,10.509,8.891,8.94,8.959
"YPL272C",4.783,5.214,5.38,6.123,6.183,5.166
"YPL273W",5.823,5.326,6.803,4.986,5.044,4.942
"YPL274W",5.908,6.362,7.413,7.793,7.684,7.635
"YPL277C",2.972,3.326,4.812,5.745,4.733,4.88
"YPR001W",5.802,5.326,6.713,3.49,3.914,3.131
"YPR002W",6.996,6.993,7.796,2.775,3.49,3.66
"YPR003C",5.587,5.431,5.456,6.373,6.208,6.248
"YPR004C",6.927,6.48,7.575,7.244,6.891,6.843
"YPR005C",5.508,5.29,5.215,5.114,4.987,5.405
"YPR006C",6.635,6.362,7.432,5.051,4.865,4.815
"YPR007C",2.145,3.812,2.959,3.288,2.274,1.842
"YPR008W",7.81,8.281,7.811,7.963,8.237,8.282
"YPR009W",4.827,4.759,4.253,4.322,2.887,3.504
"YPR010C",7.531,6.397,8.288,7.426,7.26,7.122
"YPR010C-A",10.148,10.99,9.661,9.254,9.374,9.57
"YPR011C",4.952,4.174,5.726,4.918,5.39,4.747
"YPR012W",2.4,3.174,3.62,3.666,4.14,3.928
"YPR013C",5.03,5.677,4.692,5.821,6.257,6.248
"YPR014C",0,1.588,1.704,3.823,2.887,2.9
"YPR015C",4.109,3.812,3.62,4.424,3.49,4.676
"YPR016C",6.977,6.38,7.706,7.034,7.307,7.04
"YPR016W-A",3.698,3.464,4.692,4.608,4.424,3.928
"YPR017C",4.69,4.252,5.124,4.213,4.865,4.747
"YPR018W",5.757,6.935,4.812,5.286,6.022,6.065
"YPR019W",6.393,6.154,7.093,6.423,6.459,6.516
"YPR020W",8.887,9.172,8.278,7.533,7.846,7.812
"YPR021C",6.947,6.448,6.942,6.628,6.655,6.614
"YPR022C",6.937,7.103,7.14,7.51,7.441,7.011
"YPR023C",6.833,6.899,7.413,7.034,7.284,6.952
"YPR024W",7.178,6.993,7.909,7.589,7.675,7.663
"YPR025C",6.204,6.993,5.844,5.705,6.105,6.343
"YPR026W",5.845,6.134,6.005,7.704,7.63,7.691
"YPR027C",2.4,2.811,1.704,2.429,1.189,2.287
"YPR028W",7.864,7.912,8.288,7.849,7.503,7.597
