"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"HRA1",2.805,2.003,3.327,3.288,3.646,2.626
"ICR1",5.139,5.362,5.663,5.858,5.346,5.405
"IRT1",5.207,5.362,5.3,4.519,4.424,4.601
"LSR1",12.084,12.625,14.115,13.187,13.101,13.48
"NME1",8.798,9.362,11.234,9.086,8.826,9.359
"PWR1",4.109,4.705,5.124,3.666,3.646,3.66
"Q0020",17.116,16.566,14.867,15.947,15.964,16.081
"Q0045",11.853,10.831,11.595,11.317,11.307,11.202
"Q0060",7.653,7.406,5.9,6.77,6.673,6.32
"Q0075",6.118,5.677,4.812,5.821,5.74,5.314
"Q0080",2.4,1.002,1.704,3.055,3.49,1.842
"Q0085",9.028,8.806,7.163,9.648,9.497,9.174
"Q0105",10.882,9.814,10.592,10.582,10.685,10.691
"Q0110",7.551,7.214,4.692,6.267,6.05,6.432
"Q0115",3.6,2.003,0,1.972,2.274,2.626
"Q0120",7.484,7.071,5.215,6.347,6.501,6.576
"Q0130",12.269,12.582,11.055,12.215,12.269,12.325
"Q0140",4.036,4.862,1.704,3.666,4.336,2.287
"Q0158",17.54,17.386,15.025,16.294,16.314,16.529
"Q0182",2.972,2.003,0,2.429,1.831,3.504
"Q0250",11.926,10.702,12.077,11.775,11.749,11.592
"Q0255",7.044,5.326,4.253,1.972,0,2.287
"Q0275",11.18,10.577,9.543,10.765,10.793,10.776
"Q0285",3.257,2.811,1.704,3.823,3.49,3.504
"RDN5-1",1.439,3.812,2.959,0,1.189,3.8
"RME2",4.991,4.759,6.005,5.439,5.595,5.267
"RME3",3.791,4.004,4.071,4.692,4.587,4.601
"RNA170",2.145,2.811,3.62,3.055,3.646,3.131
"RPR1",7.108,8.087,9.612,8.28,8.082,7.923
"RUF20",4.309,4.959,5.124,5.114,4.801,4.256
"RUF21",2.145,3.589,1.704,3.288,3.316,0
"RUF23",0,1.588,1.704,3.055,1.831,2.626
"SCR1",11.664,11.964,13.477,9.676,9.593,9.577
"snR10",1.439,1.002,0,2.429,1.831,1.197
"snR11",8.514,8.605,10.854,9.668,9.306,9.575
"snR128",7.269,7.308,9.27,7.839,7.533,7.423
"snR13",6.238,6.786,7.896,6.061,5.346,5.267
"snR14",6.906,6.912,8.946,6.691,6.328,6.875
"snR161",6.635,6.29,8.288,7.298,7.186,6.453
"snR17a",9.997,10.416,12.815,10.346,10.169,10.254
"snR17b",7.308,7.619,9.78,7.98,7.754,7.717
"snR18",3.877,3.705,5.3,4.847,4.865,4.601
"snR189",7.491,7.456,9.735,9.518,8.984,9.381
"snR19",10.891,11.201,13.165,11.1,11.138,11.375
"snR190",5.757,6.327,7.45,6.79,6.395,6.614
"snR191",5.273,5.837,7.163,5.821,5.203,5.217
"snR24",4.485,3.705,5.38,3.666,4.14,4.522
"snR3",7.609,8.257,9.751,8.359,7.998,8.151
"snR30",8.215,8.362,10.199,8.681,8.626,8.554
"snR31",7.391,7.52,9.097,8.477,8.331,8.208
"snR32",7.853,8.318,9.856,8.32,8.212,8.529
"snR33",6.559,6.746,8.741,7.389,6.996,6.742
"snR34",8.668,8.86,10.818,9.348,9.055,9.66
"snR35",8.551,8.684,10.6,9.666,9.315,9.283
"snR36",6.204,5.812,8.235,6.846,6.208,6.652
"snR37",10.513,10.595,12.811,10.982,10.624,11.144
"snR38",2.617,2.811,3.62,1.3,2.274,1.197
"snR39",2.617,3.464,4.692,3.055,2.613,3.329
"snR39B",3.959,5.431,5.9,4.424,3.49,4.676
"snR4",7.564,8.092,9.155,8.428,8.314,8.617
"snR40",7.161,7.504,9.206,8.366,7.72,8.419
"snR41",5.207,5.049,7.251,5.439,4.927,5.058
"snR42",6.72,6.825,8.427,7.521,7.173,7.345
"snR43",5.949,6.528,7.575,6.093,5.964,6.119
"snR44",7.354,7.612,8.865,6.061,5.84,5.855
"snR45",8.048,8.327,10.285,10.661,10.405,10.484
"snR46",8.487,8.953,10.715,9.475,9.072,9.111
"snR47",4.179,3.589,5.844,6.77,6.795,6.826
"snR48",2.805,1.588,4.071,2.429,3.914,3.329
"snR49",4.485,4.911,6.103,7.487,6.58,6.967
"snR5",7.584,7.224,9.958,9.244,8.649,9.067
"snR50",1.835,3.326,4.071,3.666,3.49,2.9
"snR51",3.877,3.911,6.005,4.771,5.152,4.256
"snR52",1.439,1.002,2.464,2.775,0,2.287
"snR54",0.892,1.002,1.704,0,0,1.197
"snR55",3.6,3.589,5.215,2.775,2.274,1.197
"snR56",2.4,3.812,3.327,2.775,1.831,2.287
"snR57",2.4,1.002,3.327,1.3,3.646,3.329
"snR58",0,1.002,2.464,0,2.274,0
"snR59",0,1.588,1.704,0,1.831,1.197
"snR6",5.866,5.732,8.778,5.622,5.556,5.217
"snR60",1.835,1.002,2.959,1.972,1.831,0
"snR61",2.617,1.002,2.959,1.3,2.274,1.842
"snR62",2.617,3.326,3.327,2.429,2.274,2.626
"snR63",6.917,7.214,8.892,7.05,6.907,6.793
"snR64",3.257,3.326,4.414,4.094,3.49,3.329
"snR65",0,1.588,0,1.3,1.189,1.197
"snR66",4.036,4.326,4.692,4.519,4.587,4.256
"snR67",2.145,1.002,1.704,4.424,4.336,4.676
"snR68",4.109,4.252,6.649,6.239,6.233,6.223
"snR69",5.535,6.327,7.413,6.267,5.595,5.979
"snR70",5.988,5.911,7.825,6.373,6.183,5.823
"snR71",0.892,1.002,2.464,1.3,1.189,0
"snR72",0.892,2.589,0,3.49,4.662,3.66
"snR74",0.892,1.002,1.704,2.429,2.613,1.842
"snR75",0,0,0,3.055,1.189,2.626
"snR76",0,1.588,1.704,4.094,3.49,3.66
"snR77",3.494,3.326,5.529,5.114,4.336,4.815
"snR78",0,1.002,2.464,1.972,0,1.197
"snR79",1.439,2.003,2.959,1.972,2.274,1.842
"snR8",7.354,7.318,9.565,8.877,8.458,8.17
"snR80",6.302,6.175,8.718,7.744,7.134,7.109
"snR81",6.188,6.559,8.191,7.034,6.561,7.175
"snR82",8.879,9.187,11.025,10.029,9.825,10.294
"snR83",7.3,7.76,9.693,9.681,9.487,9.805
"snR84",6.045,5.705,8.267,7.911,7.563,7.7
"snR85",6.153,5.786,7.882,6.882,6.459,6.826
"snR86",8.405,8.743,10.525,11.013,10.778,10.937
"snR87",2.145,2.326,2.464,1.972,1.189,2.287
"snR9",9.14,8.869,11.2,10.921,10.46,10.829
"SRG1",6.378,6.464,6.681,6.846,6.811,7.162
"tA(UGC)O",1.439,3.004,0,2.775,2.274,2.9
"tC(GCA)Q",2.145,0,1.704,0,1.189,1.197
"tD(GUC)Q",0,0,2.959,2.429,1.189,1.197
"tE(UUC)G1",0,1.002,0,1.972,1.831,2.287
"tE(UUC)Q",0.892,1.588,3.327,1.3,0,0
"tF(GAA)H1",0,0,2.464,1.3,1.189,0
"tF(GAA)P1",1.439,1.002,2.464,0,1.189,1.197
"tG(CCC)D",0,0,0,1.3,1.831,1.197
"tG(CCC)O",4.309,4.464,5.215,4.424,4.241,4.439
"tH(GUG)E1",0.892,2.326,2.959,1.972,2.887,2.626
"tH(GUG)G1",2.145,2.589,2.959,0,0,1.197
"tK(UUU)D",1.439,1.588,4.071,1.3,1.189,2.287
"tK(UUU)K",0,1.002,0,3.49,1.831,1.197
"tK(UUU)O",0,2.003,0,1.3,1.189,0
"tK(UUU)Q",2.4,0,1.704,1.3,0,1.842
"tM(CAU)Q1",1.439,0,0,1.3,0,1.842
"tP(UGG)Q",0,1.002,0,0,1.189,1.197
"tQ(CUG)M",0.892,0,2.464,1.972,1.831,1.842
"tQ(UUG)D3",0,1.002,0,1.3,0,1.197
"tR(ACG)D",1.439,1.588,1.704,1.3,2.274,1.842
"tR(ACG)K",0.892,1.002,3.62,0,0,1.197
"tR(UCU)G3",0,1.002,2.464,0,1.189,1.842
"tR(UCU)K",0.892,1.002,1.704,1.3,0,0
"tS(GCU)Q1",2.145,0,3.327,0,0,1.197
"tS(UGA)E",0,1.002,1.704,1.3,1.189,1.197
"tS(UGA)Q2",1.835,2.326,4.253,0,1.189,1.842
"tT(UAG)Q2",1.439,0,0,1.3,1.189,1.197
"tV(AAC)G1",0,0,1.704,1.3,1.189,1.197
"tV(UAC)Q",2.145,1.588,0,0,0,1.842
"tY(GUA)Q",0.892,1.002,1.704,0,1.189,2.287
"YAL001C",6.559,6.799,6.915,7.325,7.419,7.423
"YAL002W",5.173,5.397,5.529,6.67,6.599,6.633
"YAL003W",8.504,8.563,8.446,8.211,8.399,8.233
"YAL004W",6.407,6.38,6.86,6.691,6.795,6.614
"YAL005C",9.319,9.931,9.938,9.632,9.756,9.637
"YAL007C",6.221,6.344,6.888,5.051,4.508,4.815
"YAL008W",6.082,5.496,6.44,6.711,6.521,6.67
"YAL009W",4.539,4.589,5.38,5.784,4.801,5.61
"YAL010C",4.827,4.911,4.071,4.322,4.336,3.8
"YAL011W",4.309,5.559,4.071,4.986,5.476,5.648
"YAL012W",6.407,6.719,7.541,4.847,3.914,4.154
"YAL013W",4.539,5.431,5.726,4.608,4.801,4.942
"YAL014C",3.698,4.326,5.027,4.771,3.646,4.046
"YAL015C",3.494,4.812,4.812,4.424,3.49,3.66
"YAL016C-A",4.309,3.812,4.812,5.286,4.987,5.166
"YAL016C-B",3.791,4.812,4.071,5.286,5.044,4.35
"YAL016W",7.771,7.414,8.379,8.045,8.212,7.961
"YAL017W",7.736,7.605,8.51,8.913,8.826,8.905
"YAL019W",6.635,6.899,6.239,6.827,6.58,6.724
"YAL019W-A",2.4,2.003,4.071,3.49,3.316,2.287
"YAL020C",3.698,3.705,5.598,4.424,4.424,4.601
"YAL021C",6.1,5.559,7.314,7.244,6.655,6.724
"YAL022C",4.246,4.705,5.954,5.664,5.346,5.314
"YAL023C",7.126,7.336,7.896,6.882,6.86,6.556
"YAL024C",5.481,5.397,5.027,5.286,5.476,5.001
"YAL025C",5.908,5.812,5.215,4.094,4.733,4.256
"YAL026C",6.238,6.049,6.055,6.563,6.727,6.576
"YAL026C-A",2.145,2.589,3.327,3.288,3.117,1.842
"YAL027W",4.37,4.589,4.071,4.771,4.587,4.815
"YAL028W",2.4,3.464,2.464,4.608,4.031,4.256
"YAL029C",7.511,7.243,7.541,7.487,7.737,7.626
"YAL030W",6.1,6.397,6.363,6.691,6.673,6.474
"YAL031C",5.686,5.648,6.44,7.002,6.778,6.633
"YAL031W-A",3.494,4.174,4.692,5.622,5.099,5.166
"YAL032C",5.207,4.959,5.3,4.918,5.299,5.217
"YAL033W",4.591,4.092,4.414,5.051,4.031,4.522
"YAL034C",6.238,6.887,6.15,7.285,7.503,7.379
"YAL034C-B",1.835,2.811,2.464,1.972,2.274,2.9
"YAL034W-A",3.494,4.004,3.62,3.288,3.117,4.601
"YAL035W",7.725,8.926,8.001,7.839,7.893,7.795
"YAL036C",4.737,5.362,6.195,4.918,4.927,4.815
"YAL037C-A",2.805,3.911,1.704,3.666,4.508,4.35
"YAL037C-B",9.519,9.919,9.915,11.286,11.099,10.906
"YAL037W",2.145,2.003,3.327,4.322,4.733,4.601
"YAL038W",10.039,10.448,10.619,11.945,11.805,11.582
"YAL039C",5.662,6.271,6.583,6.123,6.328,5.979
"YAL040C",5.173,5.464,5.844,6.239,6.208,5.823
"YAL041W",5.638,5.464,5.663,6.321,5.872,6.272
"YAL042C-A",3.257,2.589,1.704,4.519,3.117,2.9
"YAL042W",5.481,5.812,6.363,6.373,6.501,6.172
"YAL043C",4.827,4.648,5.954,5.439,5.152,4.815
"YAL044C",6.363,6.912,6.968,6.423,6.691,6.272
"YAL044W-A",5.335,5.326,5.38,5.114,5.934,5.531
"YAL045C",4.912,5.049,4.812,3.49,5.556,4.815
"YAL046C",5.173,4.589,5.9,4.322,4.241,3.66
"YAL047C",4.485,4.812,1.704,3.965,3.914,4.601
"YAL047W-A",0.892,1.588,0,2.429,0,2.9
"YAL048C",4.87,4.326,5.38,5.439,5.517,5.113
"YAL049C",7.701,7.605,8.202,7.487,7.805,7.752
"YAL051W",5.929,5.982,6.513,7.143,7.011,6.759
"YAL053W",7.081,6.691,7.909,7.744,7.601,7.568
"YAL054C",6.204,6.362,7.505,6.935,6.58,6.67
"YAL055W",4.69,6.194,4.812,5.051,5.044,5.491
"YAL056C-A",1.439,3.004,3.62,3.49,3.316,2.9
"YAL056W",7.292,6.746,7.882,8.13,8.279,8.419
"YAL058W",3.698,3.911,5.215,5.173,4.508,4.676
"YAL059C-A",3.6,2.811,4.253,3.666,3.49,4.046
"YAL059W",4.87,4.648,5.598,5.114,5.099,4.942
"YAL060W",5.613,6.448,6.239,8.845,8.905,8.775
"YAL061W",6.064,6.448,6.743,7.954,8.2,7.991
"YAL062W",5.71,6.719,6.713,5.487,5.808,5.405
"YAL063C",2.617,2.003,2.959,3.666,3.49,3.8
"YAL065C",3.121,2.589,3.62,1.972,1.831,1.842
"YAL066W",2.4,3.004,0,1.972,0,1.197
"YAL067C",6.286,6.464,6.743,5.339,5.152,4.747
"YAR002C-A",6.72,7.049,7.752,5.963,5.633,6.008
"YAR002W",5.779,5.496,5.726,6.211,5.705,5.684
"YAR003W",5.638,5.431,5.726,5.745,5.808,5.684
"YAR007C",6.623,6.233,7.272,6.182,6.257,6.724
"YAR008W",5.207,4.862,5.124,4.771,5.39,4.35
"YAR014C",6.254,6.134,6.363,6.267,6.373,6.272
"YAR015W",7.384,7.281,7.882,6.79,6.691,6.688
"YAR018C",4.539,4.759,4.812,3.965,3.316,2.626
"YAR019C",4.539,4.812,4.414,5.439,5.774,5.491
"YAR019W-A",0,2.003,1.704,2.429,0,1.842
"YAR023C",2.617,2.811,3.863,3.49,4.031,3.66
"YAR027W",5.207,4.959,5.9,1.972,0,0
"YAR028W",2.805,2.003,1.704,0,0,0
"YAR035W",3.494,3.911,5.124,1.3,0,1.842
"YAR042W",5.988,6.397,6.239,7.172,7.223,7.149
"YAR050W",2.617,2.326,3.327,3.965,2.887,1.842
"YBL001C",7.117,7.262,7.019,6.827,6.691,7.04
"YBL002W",8.557,8.253,9.265,8.225,8.122,8.183
"YBL003C",7.771,7.619,7.782,7.143,7.601,7.538
"YBL004W",7.736,7.362,8.246,8.037,8.174,8.312
"YBL005W",5.587,5.134,6.15,5.578,5.872,5.887
"YBL006C",6.464,6.414,6.513,5.929,6.395,6.343
"YBL006W-A",4.783,4.589,5.726,4.519,4.14,4.154
"YBL007C",6.696,7.29,7.469,8.13,8.082,8.157
"YBL008W",5.304,5.326,6.239,5.929,5.84,5.531
"YBL008W-A",0,1.002,0,1.972,0,1.197
"YBL009W",3.791,3.589,4.692,4.094,3.786,2.287
"YBL010C",4.37,4.174,4.692,4.986,4.241,4.815
"YBL011W",5.24,6.344,5.954,6.585,6.778,6.41
"YBL012C",2.4,2.811,3.863,3.49,3.316,2.9
"YBL013W",1.439,2.326,0,1.3,2.613,2.287
"YBL014C",5.587,5.005,5.954,6.423,6.105,6.065
"YBL015W",7.858,8.497,8.35,7.338,7.011,6.474
"YBL016W",4.37,4.174,5.124,5.051,4.424,4.522
"YBL017C",8.319,7.893,9.005,8.701,8.725,8.66
"YBL018C",5.481,5.397,5.529,4.608,5.476,5.058
"YBL019W",5.424,4.911,5.027,6.153,6.281,6.343
"YBL020W",6.755,6.85,7.314,7.082,6.618,6.495
"YBL021C",5.613,5.959,6.005,4.519,4.801,4.88
"YBL022C",7.442,7.712,7.854,8.26,8.168,8.306
"YBL023C",5.481,4.862,6.323,4.847,5.252,5.267
"YBL024W",6.492,6.049,6.681,5.929,5.934,6.198
"YBL025W",4.309,3.705,4.812,4.692,4.587,4.439
"YBL026W",5.662,5.837,4.692,4.519,5.346,5.684
"YBL027W",9.086,8.659,9.132,8.327,8.343,8.341
"YBL028C",6.064,6.605,5.456,4.519,4.508,5.571
"YBL029C-A",5.734,6.719,6.005,6.77,6.922,7.095
"YBL029W",7.511,8.295,6.773,8.579,8.87,9.067
"YBL030C",8.801,9.202,9.486,8.167,7.901,8.117
"YBL031W",3.6,2.811,2.464,1.3,1.831,1.842
"YBL032W",4.87,5.214,4.812,5.339,5.099,5.113
"YBL033C",7.015,7.831,7.505,7.002,7.011,6.952
"YBL034C",6.188,6.005,6.281,6.321,6.351,6.343
"YBL035C",4.642,4.589,5.663,4.094,5.299,4.256
"YBL036C",6.635,6.773,6.968,6.518,6.709,6.937
"YBL037W",4.737,4.326,5.215,5.664,5.203,5.113
"YBL038W",7.244,7.448,6.743,6.321,6.501,6.706
"YBL039C",5.535,4.589,5.787,5.487,4.927,5.448
"YBL039W-B",4.591,4.959,4.414,3.823,3.914,5.113
"YBL040C",6.45,6.799,6.888,5.745,5.993,5.755
"YBL041W",8.219,8.149,8.492,7.812,7.976,7.969
"YBL042C",6.045,5.464,6.281,6.77,6.673,6.556
"YBL043W",6.833,7.299,7.019,6.153,5.964,5.314
"YBL045C",9.436,9.582,9.716,9.312,9.283,9.412
"YBL046W",4.429,4.648,4.924,6.123,5.84,5.491
"YBL047C",7.435,7.97,8.051,8.385,8.649,8.714
"YBL048W",4.591,5.837,6.005,8.488,8.415,8.364
"YBL049W",6.27,6.271,7.14,9.338,9.402,9.25
"YBL050W",7.261,7.488,7.505,7.839,7.961,7.845
"YBL051C",7.169,7.512,6.86,8.13,8.148,8.013
"YBL052C",5.453,6.154,4.071,5.664,5.299,6.065
"YBL053W",3.959,5.214,2.464,3.666,3.786,4.522
"YBL054W",4.69,4.326,4.812,5.578,4.987,5.61
"YBL055C",5.24,4.862,5.38,5.39,5.964,5.755
"YBL056W",7.211,6.691,7.592,7.704,7.924,7.558
"YBL057C",5.173,5.362,6.477,5.39,5.099,5.314
"YBL058W",7.015,7.154,7.093,7.158,7.223,7.175
"YBL059C-A",7.285,7.726,7.093,6.211,6.233,6.41
"YBL059W",5.395,5.837,5.3,3.49,4.733,4.046
"YBL060W",5.481,5.397,5.598,5.858,5.84,6.198
"YBL061C",5.335,5.837,6.195,5.745,5.595,6.008
"YBL062W",3.791,4.092,4.253,3.823,4.424,4.35
"YBL063W",5.613,5.959,5.027,5.705,5.903,6.065
"YBL064C",9.705,9.774,9.987,9.498,9.591,9.479
"YBL065W",2.972,3.004,4.812,2.775,3.786,2.9
"YBL066C",6.598,6.947,7.374,7.187,7.26,7.518
"YBL067C",6.708,7.071,6.86,7.498,7.43,7.487
"YBL068W",5.561,5.174,5.954,5.173,4.987,4.439
"YBL069W",3.257,2.589,3.863,3.288,2.613,1.842
"YBL071C",4.036,4.648,3.62,3.666,4.587,3.66
"YBL071C-B",2.972,2.589,3.327,1.972,2.274,2.626
"YBL071W-A",4.246,4.397,4.56,4.692,3.117,3.329
"YBL072C",7.362,6.648,7.658,6.294,6.811,6.453
"YBL073W",3.121,2.811,2.464,2.775,2.274,2.9
"YBL074C",3.877,3.589,5.124,3.965,5.044,4.676
"YBL075C",6.623,7.113,7.116,7.83,8.102,8.027
"YBL076C",8.394,7.739,9.194,8.037,8.267,8.097
"YBL077W",6.027,6.113,6.103,5.963,5.669,5.949
"YBL078C",6.585,7.512,6.513,6.985,6.967,7.334
"YBL079W",6.732,6.574,7.432,7.714,7.657,7.853
"YBL080C",4.737,4.589,5.3,5.051,5.39,4.676
"YBL081W",5.173,4.589,4.812,4.986,4.865,4.942
"YBL082C",4.309,3.589,5.38,5.439,4.801,4.35
"YBL084C",5.887,6.092,5.598,6.77,6.655,6.997
"YBL085W",6.363,6.605,6.713,6.471,6.637,6.843
"YBL086C",5.779,6.253,5.663,6.398,6.691,6.759
"YBL087C",6.238,5.812,7.093,6.321,6.05,6.037
"YBL088C",6.8,6.812,7.14,7.684,7.946,7.845
"YBL089W",5.273,4.911,5.844,5.963,5.517,5.979
"YBL090W",6.623,6.663,6.832,6.123,5.872,6.453
"YBL091C",8,8.353,8.35,7.734,7.885,7.861
"YBL091C-A",4.246,4.862,4.692,5.39,5.476,5.113
"YBL092W",9.414,9.25,9.342,8.435,8.777,8.727
"YBL093C",5.779,6.005,6.005,6.267,6.305,5.789
"YBL094C",5.139,5.29,5.844,6.267,6.281,5.949
"YBL095W",5.662,5.559,6.803,7.312,7.198,6.997
"YBL096C",4.036,4.174,4.924,4.918,4.987,4.601
"YBL097W",4.737,4.911,5.124,4.771,5.203,5.217
"YBL098W",5.662,5.935,6.477,5.439,5.84,5.491
"YBL099W",10.893,11.412,11.206,10.482,10.277,10.259
"YBL100C",9.038,9.606,9.43,8.864,8.593,8.632
"YBL100W-C",0,1.002,1.704,1.3,1.831,0
"YBL101C",6.986,6.634,7.45,7.867,7.869,7.744
"YBL102W",5.24,5.214,5.787,5.439,5.556,5.405
"YBL103C",6.027,5.812,5.787,5.664,5.346,5.531
"YBL104C",5.481,5.911,5.456,6.585,6.844,6.366
"YBL105C",6.506,6.29,6.942,7.764,7.754,7.77
"YBL106C",4.912,4.862,6.005,6.294,6.395,5.918
"YBL107C",5.969,6.271,5.38,5.894,5.74,5.789
"YBL113C",0,0,1.704,1.972,1.189,1.842
"YBR001C",6.533,6.528,7.737,7.426,7.419,7.368
"YBR002C",5.587,5.959,6.86,5.533,5.903,5.491
"YBR003W",6.648,6.154,6.942,6.809,6.778,6.688
"YBR004C",5.304,5.134,5.787,5.997,5.903,5.684
"YBR005W",4.37,4.759,4.56,5.051,4.801,4.522
"YBR006W",7.42,6.85,8.063,8.334,8.343,8.063
"YBR007C",5.638,6.344,5.215,7.128,6.952,7.026
"YBR008C",6.407,6.397,7.706,6.398,6.157,6.343
"YBR009C",7.331,7.154,7.272,5.963,5.934,5.887
"YBR010W",9.12,8.968,8.992,8.26,8.337,8.622
"YBR011C",9.104,8.929,10.101,8.775,8.814,8.723
"YBR012C",4.179,4.648,3.62,5.578,4.927,4.601
"YBR013C",4.429,4.174,4.253,4.213,4.241,4.256
"YBR014C",5.988,6.134,5.9,5.533,5.299,5.755
"YBR015C",6.766,6.544,7.374,7.097,7.08,7.299
"YBR016W",4.485,5.59,5.9,5.705,5.556,5.166
"YBR017C",5.734,5.59,7.163,6.563,6.183,6.198
"YBR018C",1.835,2.003,1.704,2.775,4.031,3.131
"YBR019C",2.4,3.326,3.62,4.094,4.424,4.439
"YBR020W",2.617,2.326,3.62,3.49,3.646,2.626
"YBR021W",5.207,5.174,5.954,5.997,6.208,5.61
"YBR022W",5.802,5.559,5.787,5.051,5.774,5.217
"YBR023C",6.777,5.935,7.854,6.751,6.844,6.706
"YBR024W",6.546,6.982,6.832,6.347,6.58,6.967
"YBR025C",9.185,8.656,9.578,8.54,8.442,8.318
"YBR026C",6.937,6.528,7.044,6.846,7.307,7.095
"YBR027C",1.835,3.326,2.464,1.972,3.316,0
"YBR028C",6.027,5.911,6.513,5.784,5.934,5.684
"YBR029C",6.1,5.887,6.681,6.585,6.438,6.119
"YBR030W",4.485,5.005,5.38,5.821,5.346,4.522
"YBR031W",4.591,4.528,4.812,4.094,4.14,3.131
"YBR032W",1.439,2.003,0,1.3,2.613,2.626
"YBR033W",6.188,6.308,6.743,5.622,5.203,5.267
"YBR034C",6.333,5.759,6.402,5.114,5.434,5.855
"YBR035C",7.277,7.204,7.737,7.298,7.582,7.322
"YBR036C",7.362,7.262,8.299,7.567,7.563,7.434
"YBR037C",5.335,5.005,5.844,5.051,5.203,4.88
"YBR038W",3.877,3.812,5.215,2.775,3.646,3.329
"YBR039W",9.847,9.806,9.948,9.278,9.216,9.403
"YBR040W",1.835,2.811,0,0,1.189,2.287
"YBR041W",6.1,6.027,6.713,6.239,6.501,6.474
"YBR042C",5.24,4.648,5.598,5.173,5.346,5.36
"YBR043C",5.173,5.528,5.954,6.864,7.011,6.982
"YBR044C",6.635,6.76,6.681,6.398,6.501,6.742
"YBR045C",4.179,4.705,3.62,4.692,4.927,5.267
"YBR046C",6.854,6.634,6.994,6.985,6.967,6.997
"YBR047W",7.277,7.567,6.915,6.691,6.744,6.742
"YBR048W",6.886,6.005,7.272,5.664,5.669,5.314
"YBR049C",6.72,6.512,6.513,6.607,6.952,6.742
"YBR050C",4.737,5.648,4.56,4.771,5.39,4.747
"YBR051W",3.494,4.326,0,3.823,3.117,3.329
"YBR052C",7.707,7.899,8.075,6.585,6.795,7.122
"YBR053C",6.886,6.733,7.505,7.487,7.513,7.498
"YBR054W",11.385,11.316,11.297,12.043,12.112,12.05
"YBR055C",5.638,6.544,6.44,6.563,6.691,6.614
"YBR056C-B",4.952,4.812,5.663,3.055,2.613,3.504
"YBR056W",7.331,7.362,7.909,7.51,7.684,7.892
"YBR056W-A",5.173,4.648,6.44,3.965,4.336,4.256
"YBR057C",5.273,5.528,4.414,5.286,5.517,5.531
"YBR058C",5.887,5.911,6.513,6.79,6.811,6.474
"YBR058C-A",6.254,6.134,5.456,5.622,5.84,6.223
"YBR059C",6.833,7.175,7.069,8.1,7.846,8.252
"YBR060C",5.587,5.677,5.3,4.986,5.203,5.648
"YBR061C",4.991,4.589,4.56,4.771,4.733,4.88
"YBR062C",5.03,5.464,5.124,5.286,5.556,5.166
"YBR063C",5.535,5.677,4.924,6.423,6.618,6.343
"YBR064W",3.877,2.589,3.863,4.424,4.865,4.676
"YBR065C",5.866,5.214,5.787,6.628,6.417,6.81
"YBR066C",3.959,4.959,4.071,3.666,4.336,4.601
"YBR067C",7.677,7.559,7.674,6.447,6.48,6.296
"YBR068C",7.701,7.605,8.58,6.093,6.022,6.146
"YBR069C",5.173,5.252,6.055,3.823,4.031,3.66
"YBR070C",4.642,4.528,5.663,5.286,4.927,5.001
"YBR071W",5.638,5.559,6.773,4.424,4.865,4.676
"YBR072C-A",1.439,1.002,1.704,1.3,1.831,2.287
"YBR072W",10.938,11.946,11.13,7.475,7.969,7.423
"YBR073W",6.136,6.175,7.163,5.533,6.373,5.823
"YBR074W",6.833,5.982,7.116,6.969,7.319,7.136
"YBR076C-A",4.036,4.252,3.327,4.918,4.424,4.815
"YBR076W",3.257,3.174,4.56,4.322,4.424,4.522
"YBR077C",5.453,5.496,6.239,5.051,5.705,5.684
"YBR078W",8.953,8.209,9.472,8.998,8.858,8.893
"YBR079C",6.875,6.528,6.942,6.711,6.655,6.952
"YBR080C",6.789,5.982,7.45,7.498,7.375,7.287
"YBR081C",6.708,7.605,6.103,7.018,7.08,7.275
"YBR082C",8.64,9.324,8.111,7.555,7.729,7.795
"YBR083W",3.877,4.812,4.812,3.666,4.424,4.676
"YBR084C-A",8.551,8.362,8.756,7.911,8.012,8.111
"YBR084W",6.937,6.812,7.625,5.858,6.077,5.789
"YBR085C-A",7.659,8.081,7.84,8.465,8.649,8.749
"YBR085W",1.439,1.002,0,3.055,1.831,1.842
"YBR086C",7.391,6.863,7.936,8.013,7.72,7.828
"YBR087W",5.734,5.134,5.844,4.771,4.662,5.113
"YBR088C",6.153,5.619,6.363,4.847,5.252,4.942
"YBR089C-A",5.845,6.431,6.477,5.894,6.105,6.296
"YBR089W",5.395,5.362,6.281,4.519,4.336,4.522
"YBR090C",2.617,2.811,3.327,2.429,1.831,2.626
"YBR091C",5.335,5.496,5.9,3.965,3.914,4.154
"YBR092C",1.835,2.326,2.959,3.288,3.316,2.9
"YBR093C",2.972,3.705,4.071,4.692,4.927,4.046
"YBR094W",5.969,5.496,6.195,5.963,5.872,5.491
"YBR095C",5.866,6.448,5.787,5.339,5.774,5.448
"YBR096W",5.587,5.29,6.055,5.39,5.299,5.61
"YBR097W",6.559,6.194,6.803,7.002,7.307,7.026
"YBR098W",6.221,7.194,6.363,6.827,6.891,6.198
"YBR099C",4.827,5.759,5.598,5.784,5.74,5.314
"YBR101C",7.707,8.89,7.825,7.426,7.272,7.109
"YBR102C",5.561,5.431,5.954,5.487,5.808,5.72
"YBR103C-A",1.439,1.002,0,0,1.831,1.842
"YBR103W",5.779,5.732,6.402,5.821,6.105,5.949
"YBR104W",5.638,4.911,5.954,4.847,5.203,4.676
