"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"YIL012W",0,2,0,1,0,0
"YIL032C",0,1,0,0,0,0
"YIL141W",0,1,0,0,0,1
"YIR013C",0,1,0,0,0,0
"YIR021W-A",0,1,0,0,0,0
"YIR041W",1,0,0,0,0,0
"YJL028W",1,1,0,3,0,0
"YJL052C-A",1,1,1,0,0,0
"YJL135W",1,1,0,0,0,0
"YJL136W-A",0,0,1,0,1,0
"YJL217W",1,0,0,0,0,0
"YJR146W",0,0,0,2,1,0
"YJR151W-A",0,0,0,1,0,0
"YKL097C",0,1,0,0,2,0
"YKL177W",1,2,1,0,0,0
"YLL006W-A",1,0,1,0,0,0
"YLL030C",0,0,0,0,0,1
"YLR012C",3,0,0,0,2,0
"YLR013W",0,0,0,0,1,0
"YLR111W",0,1,0,0,1,0
"YLR162W-A",0,0,0,0,1,0
"YLR184W",1,0,0,0,0,0
"YLR261C",0,0,0,0,1,0
"YLR280C",1,0,0,1,2,0
"YLR308W",0,0,0,0,1,0
"YLR406C-A",1,2,0,0,1,0
"YLR412C-A",0,0,1,0,0,0
"YLR416C",0,1,0,1,0,0
"YML054C-A",0,1,0,0,0,2
"YML100W-A",1,0,1,0,0,0
"YMR030W-A",1,3,0,0,1,0
"YMR326C",0,0,0,0,0,2
"YNL018C",0,0,1,0,0,0
"YNL034W",0,0,1,0,0,0
"YNL067W-A",0,0,0,1,0,0
"YNR074C",2,0,0,0,0,0
"YOL013W-B",0,0,0,0,1,0
"YOL019W-A",0,0,0,0,0,1
"YOL097W-A",0,2,1,0,0,0
"YOL159C",1,0,0,0,0,0
"YOL159C-A",1,0,0,0,0,0
"YOR024W",0,1,0,0,0,0
"YOR029W",1,2,0,0,0,0
"YOR105W",0,2,0,0,0,0
"YOR161C-C",0,0,1,0,0,0
"YOR248W",0,1,0,0,0,0
"YOR255W",0,0,0,0,0,2
"YOR300W",1,0,0,0,0,0
"YOR309C",0,1,0,0,0,0
"YOR381W-A",0,0,0,2,0,1
"YOR391C",1,0,1,0,0,0
"YPR159C-A",0,2,0,0,0,0
