"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","neg_log10_padj","status","status_strict","gene_name","description"
"YLR422W",197.110843390136,-0.95051290803775,0.255221502107196,4.45617341989683e-05,0.000505779832295553,3.29603849191011,"Not significant","Not significant","DCK1","Dock family protein (Dedicator Of CytoKinesis), homolog of human DOCK1; upstream component for regulation through the small GTPase Rho5p; may form a complex with Lmo1p that acts as a GEF for Rho5p; interacts with Ino4p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein; DOCK proteins act as guanine nucleotide exchange factors"
"YOR161W-B",12.2761124214847,-2.31272610216826,0.665121056740733,4.48307413428094e-05,0.000507887302015656,3.29423264508333,"Down in thin","Down in thin",NA,"Protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
"YLR167W",511.984153358664,0.967172122541799,0.259698356140851,4.52128844103654e-05,0.000511266290317583,3.29135284097517,"Not significant","Not significant","RPS31","Fusion protein cleaved to yield ribosomal protein S31 and ubiquitin; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; interacts genetically with translation factor eIF2B; homologous to mammalian ribosomal protein S27A, no bacterial homolog"
"YOL120C",109.871566676654,1.03919215070468,0.281923196829113,4.5608962372051e-05,0.000514790047514168,3.28836985794376,"Up in thin","Up in thin","RPL18A","Ribosomal 60S subunit protein L18A; intron of RPL18A pre-mRNA forms stem-loop structures that are a target for Rnt1p cleavage leading to degradation; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18A has a paralog, RPL18B, that arose from the whole genome duplication"
"YOR128C",78.5922049730725,1.15080348139505,0.316240574736717,4.5945880779304e-05,0.000517634276062584,3.28597697381543,"Up in thin","Up in thin","ADE2","Phosphoribosylaminoimidazole carboxylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine"
"YDR225W",133.615296129787,1.1735064489012,0.323980628783502,4.63792830334867e-05,0.000521553007544468,3.28270154588717,"Up in thin","Up in thin","HTA1","Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical subtypes (see also HTA2); DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p; N-terminally propionylated in vivo"
"YHR065C",22.5194905975587,1.61820989001634,0.458781758371174,4.65737592245933e-05,0.000522775437336825,3.28168482598759,"Up in thin","Up in thin","RRP3","Protein involved in rRNA processing; required for maturation of the 35S primary transcript of pre-rRNA and for cleavage leading to mature 18S rRNA; homologous to eIF-4a, which is a DEAD box RNA-dependent ATPase with helicase activity"
"YDR033W",1068.35915388325,1.05040877604651,0.285700675798233,4.68661841023352e-05,0.000525090794308333,3.27976559553153,"Up in thin","Up in thin","MRH1","Protein that localizes primarily to the plasma membrane; also found at the nuclear envelope; long-lived protein that is asymmetrically retained in the plasma membrane of mother cells; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; null mutation confers sensitivity to acetic acid"
"YHR143W-A",24.6500228009494,1.53642345404129,0.435716533836825,4.7285678954319e-05,0.000528818739865274,3.27669316306123,"Up in thin","Up in thin","RPC10","RNA polymerase subunit ABC10-alpha, found in RNA pol I, II, and III; relocalizes from nucleolus to cytoplasm upon DNA replication stress; localizes to the peroxisome in a Pex5p-dependent manner"
"YGL008C",3706.21526981427,-1.00805906728566,0.273782684331228,4.87629427000158e-05,0.000544340907979114,3.2641290266199,"Down in thin","Down in thin","PMA1","Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived hexameric protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging, buds emerge with very low levels of Pma1p, newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]"
"YMR155W",92.1794071055378,-1.17137461322942,0.326345122573662,4.89177007224959e-05,0.000545070175326531,3.26354758066809,"Down in thin","Down in thin",NA,"Protein of unknown function; identified as interacting with Hsp82p in a high-throughput two-hybrid screen"
"YBL105C",117.26188109613,-0.979560870724482,0.265712089833286,4.96176048820409e-05,0.00055085483015672,3.25896283811489,"Not significant","Not significant","PKC1","Protein serine/threonine kinase; essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha, beta, and gamma isoforms of mammalian protein kinase C (PKC)"
"YMR194W",65.1848876650882,1.14821173388425,0.315971005660381,4.9543036517134e-05,0.00055085483015672,3.25896283811489,"Up in thin","Up in thin","RPL36A","Ribosomal 60S subunit protein L36A; N-terminally acetylated; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L36, no bacterial homolog; RPL36A has a paralog, RPL36B, that arose from the whole genome duplication"
"YBR203W",216.211533698692,-0.986731596745153,0.268540305828725,5.04612683123122e-05,0.000558187713908426,3.25321972685938,"Not significant","Not significant","COS111","Protein required for antifungal drug ciclopirox olamine resistance; not related to the subtelomerically-encoded COS family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"YOR363C",46.6477241978733,-1.21977671032594,0.339361566576124,5.04301657549031e-05,0.000558187713908426,3.25321972685938,"Down in thin","Down in thin","PIP2","Autoregulatory, oleate-activated transcription factor; subunit of a heterodimeric complex with Oaf1p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; PIP2 has a paralog, OAF1, that arose from the whole genome duplication"
"YER056C-A",82.6987709190247,1.24904604921147,0.348473703588557,5.15453614644881e-05,0.000569146699503723,3.24477577829136,"Up in thin","Up in thin","RPL34A","Ribosomal 60S subunit protein L34A; homologous to mammalian ribosomal protein L34, no bacterial homolog; RPL34A has a paralog, RPL34B, that arose from the whole genome duplication"
"YDL138W",56.2581112596446,-1.22078578114988,0.344237568772269,5.30057632053761e-05,0.000583190665060934,3.23418943624182,"Down in thin","Down in thin","RGT2","Plasma membrane high glucose sensor that regulates glucose transport; low affinity sesnor that contains 12 predicted transmembrane segments and a long C-terminal tail required for hexose transporter induction; phosphorylation of the tail by Yck1p/Yck2p facilitates binding to the HXT co-repressors, Mth1p and Std1p; RGT2 has a paralog, SNF3, that arose from the whole genome duplication"
"YNL242W",106.064964056509,-1.13322576019507,0.316106628051251,5.30086346913466e-05,0.000583190665060934,3.23418943624182,"Down in thin","Down in thin","ATG2","Putative lipid transport protein; peripheral membrane protein required for vesicle formation during autophagy, pexophagy and the CVT pathway; directed to autophagic membranes by Atg18p where it acts as a PAS-ER membrane tether during autophagosome formation; involved in Atg9p cycling between the PAS and mitochondria; binds the phospholipid PI(3)P via an APT1 domain; essential for cell cycle progression from G2/M to G1 under nitrogen starvation; forms cytoplasmic foci upon DNA replication stress"
"YPL135C-A",85.7361049991468,1.05740028768003,0.290785888273968,5.31916442132733e-05,0.000584149678342164,3.23347585811156,"Up in thin","Up in thin",NA,"Protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
"YCR021C",2166.11975179166,-0.938448205314621,0.254254896678566,5.34527198084581e-05,0.000585961020202432,3.23213127352807,"Not significant","Not significant","HSP30","Negative regulator of the H(+)-ATPase Pma1p; stress-responsive protein; hydrophobic plasma membrane localized; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase"
"YPL189C-A",101.745939326466,1.10082581489104,0.303845902646544,5.42294335790296e-05,0.000593408254334264,3.22664641692229,"Up in thin","Up in thin","COA2","Cytochrome oxidase assembly factor; null mutation results in respiratory deficiency with specific loss of cytochrome oxidase activity; functions downstream of assembly factors Mss51p and Coa1p and interacts with assembly factor Shy1p"
