"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009259","ribonucleotide metabolic process","34/763","96/5539",0.354166666666667,2.57107361293141,6.20611143599731,5.8334334962316e-08,3.07088606194478e-06,3.07088606194478e-06,"YJL116C/YDL004W/YDL021W/YDR226W/YDR050C/YPR020W/YJR009C/YJR010W/YML022W/YPL271W/YKL016C/YDR400W/YKL001C/YOR128C/YLR377C/YMR271C/YPL075W/YOL136C/YOR344C/YCR012W/YGL234W/YOL077W-A/YJR121W/YDR322C-A/YKL152C/YKL060C/YHR174W/YLR295C/YJL052W/YML081C-A/YBR196C/YAL038W/YLR446W/YGR240C",34
"GO:0044282","small molecule catabolic process","49/763","166/5539",0.295180722891566,2.14286503813419,5.97512722067093,6.6635703342578e-08,3.38693195610207e-06,3.38693195610207e-06,"YAL060W/YDL021W/YPL061W/YGR087C/YOR363C/YLR134W/YHR104W/YDR050C/YPR001W/YJR009C/YMR278W/YJR148W/YKR009C/YJR096W/YHR208W/YPR006C/YBR208C/YER010C/YLR044C/YPL111W/YDR380W/YFL053W/YGL205W/YGR019W/YHL032C/YDR400W/YLR377C/YMR250W/YAL012W/YMR170C/YOL086C/YCR012W/YML070W/YFR055W/YNR071C/YPL095C/YIL160C/YIL155C/YKL152C/YLR231C/YKL060C/YHR174W/YOL055C/YJL052W/YBR196C/YDL168W/YCL064C/YAL038W/YGR240C",49
"GO:0072524","pyridine-containing compound metabolic process","32/763","88/5539",0.363636363636364,2.63981889669963,6.19734562621318,7.03798020270931e-08,3.45799427293117e-06,3.45799427293117e-06,"YLR174W/YDL021W/YPL061W/YNL129W/YDR050C/YOR222W/YJR009C/YMR315W/YNL241C/YDR400W/YHR202W/YLR377C/YGR248W/YGR043C/YPL075W/YOL136C/YOR047C/YOR095C/YOR344C/YGR256W/YCR012W/YIL155C/YKL152C/YLR231C/YKL060C/YHR174W/YBR117C/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",32
"GO:0019364","pyridine nucleotide catabolic process","17/763","31/5539",0.548387096774194,3.9810172071196,6.65204149465728,7.81100523725076e-08,3.59794428740863e-06,3.59794428740863e-06,"YDL021W/YDR050C/YJR009C/YHR202W/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",17
"GO:0046031","ADP metabolic process","17/763","31/5539",0.548387096774194,3.9810172071196,6.65204149465728,7.81100523725076e-08,3.59794428740863e-06,3.59794428740863e-06,"YDL021W/YDR226W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",17
"GO:0019658","glucose fermentation to lactate and acetate","16/763","28/5539",0.571428571428571,4.14828683767085,6.67489885893504,8.73460460558506e-08,3.78670799665658e-06,3.78670799665658e-06,"YPL061W/YGR087C/YLR134W/YDR050C/YJR009C/YLR044C/YLR377C/YMR170C/YOL086C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W",16
"GO:0019659","glucose catabolic process to lactate","16/763","28/5539",0.571428571428571,4.14828683767085,6.67489885893504,8.73460460558506e-08,3.78670799665658e-06,3.78670799665658e-06,"YPL061W/YGR087C/YLR134W/YDR050C/YJR009C/YLR044C/YLR377C/YMR170C/YOL086C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W",16
"GO:0009141","nucleoside triphosphate metabolic process","27/763","68/5539",0.397058823529412,2.88244930999923,6.24239110506902,9.16139055118331e-08,3.85825419212691e-06,3.85825419212691e-06,"YJL116C/YDL004W/YDL021W/YDR226W/YDR050C/YPR020W/YJR009C/YPL271W/YKL016C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YOL077W-A/YJR121W/YDR322C-A/YKL152C/YKL060C/YHR174W/YLR295C/YJL052W/YML081C-A/YBR196C/YAL038W/YLR446W/YGR240C",27
"GO:0061615","glycolytic process through fructose-6-phosphate","12/763","17/5539",0.705882352941177,5.12435432888752,6.80673454914944,1.3724930043137e-07,5.46771537394162e-06,5.46771537394162e-06,"YDL021W/YDR050C/YJR009C/YLR377C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YGR240C",12
"GO:0061620","glycolytic process through glucose-6-phosphate","12/763","17/5539",0.705882352941177,5.12435432888752,6.80673454914944,1.3724930043137e-07,5.46771537394162e-06,5.46771537394162e-06,"YDL021W/YDR050C/YJR009C/YLR377C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YGR240C",12
