"gene_id","count"
"ETS1-1",0
"ETS1-2",0
"ETS2-1",0
"ETS2-2",0
"HRA1",7
"ICR1",40
"IRT1",42
"ITS1-1",0
"ITS1-2",0
"ITS2-1",0
"ITS2-2",0
"LSR1",5073
"NME1",519
"PWR1",19
"Q0010",2
"Q0017",0
"Q0020",165998
"Q0032",0
"Q0045",4322
"Q0050",0
"Q0055",0
"Q0060",234
"Q0065",0
"Q0070",0
"Q0075",80
"Q0080",5
"Q0085",609
"Q0092",0
"Q0105",2204
"Q0110",218
"Q0115",13
"Q0120",208
"Q0130",5765
"Q0140",18
"Q0142",2
"Q0143",0
"Q0144",0
"Q0158",222714
"Q0160",0
"Q0182",8
"Q0250",4546
"Q0255",153
"Q0275",2710
"Q0285",10
"Q0297",0
"RDN18-1",0
"RDN18-2",0
"RDN25-1",0
"RDN25-2",0
"RDN37-1",0
"RDN37-2",0
"RDN5-1",2
"RDN5-2",0
"RDN5-3",0
"RDN5-4",0
"RDN5-5",0
"RDN5-6",0
"RDN58-1",0
"RDN58-2",0
"RME2",36
"RME3",15
"RNA170",4
"RPR1",160
"RUF20",22
"RUF21",4
"RUF22",0
"RUF23",0
"RUF5-1",0
"RUF5-2",0
"SCR1",3790
"SRG1",96
"YAL001C",109
"YAL002W",41
"YAL003W",423
"YAL004W",98
"YAL005C",745
"YAL007C",86
"YAL008W",78
"YAL009W",26
"YAL010C",32
"YAL011W",22
"YAL012W",98
"YAL013W",26
"YAL014C",14
"YAL015C",12
"YAL016C-A",22
"YAL016C-B",15
"YAL016W",254
"YAL017W",248
"YAL018C",1
"YAL019W",115
"YAL019W-A",5
"YAL020C",14
"YAL021C",79
"YAL022C",21
"YAL023C",162
"YAL024C",51
"YAL025C",69
"YAL026C",87
"YAL026C-A",4
"YAL027W",23
"YAL028W",5
"YAL029C",212
"YAL030W",79
"YAL031C",59
"YAL031W-A",12
"YAL032C",42
"YAL033W",27
"YAL034C",87
"YAL034C-B",3
"YAL034W-A",12
"YAL035W",246
"YAL036C",30
"YAL037C-A",7
"YAL037C-B",856
"YAL037W",4
"YAL038W",1228
"YAL039C",58
"YAL040C",41
"YAL041W",57
"YAL042C-A",10
"YAL042W",51
"YAL043C",32
"YAL044C",95
"YAL044W-A",46
"YAL045C",34
"YAL046C",41
"YAL047C",25
"YAL047W-A",1
"YAL048C",33
"YAL049C",242
"YAL051W",70
"YAL053W",157
"YAL054C",85
"YAL055W",29
"YAL056C-A",2
"YAL056W",182
"YAL058W",14
"YAL059C-A",13
"YAL059W",33
"YAL060W",56
"YAL061W",77
"YAL062W",60
"YAL063C",6
