"gene_id","count"
"ETS1-1",0
"ETS1-2",0
"ETS2-1",0
"ETS2-2",0
"HRA1",3
"ICR1",40
"IRT1",40
"ITS1-1",0
"ITS1-2",0
"ITS2-1",0
"ITS2-2",0
"LSR1",6294
"NME1",655
"PWR1",25
"Q0010",0
"Q0017",0
"Q0020",96700
"Q0032",1
"Q0045",1815
"Q0050",0
"Q0055",0
"Q0060",168
"Q0065",0
"Q0070",0
"Q0075",50
"Q0080",1
"Q0085",445
"Q0092",0
"Q0105",896
"Q0110",147
"Q0115",3
"Q0120",133
"Q0130",6111
"Q0140",28
"Q0142",3
"Q0143",0
"Q0144",0
"Q0158",170686
"Q0160",0
"Q0182",3
"Q0250",1659
"Q0255",39
"Q0275",1522
"Q0285",6
"Q0297",0
"RDN18-1",0
"RDN18-2",0
"RDN25-1",0
"RDN25-2",0
"RDN37-1",0
"RDN37-2",0
"RDN5-1",13
"RDN5-2",0
"RDN5-3",0
"RDN5-4",0
"RDN5-5",0
"RDN5-6",0
"RDN58-1",0
"RDN58-2",0
"RME2",26
"RME3",15
"RNA170",6
"RPR1",270
"RUF20",30
"RUF21",11
"RUF22",1
"RUF23",2
"RUF5-1",0
"RUF5-2",0
"SCR1",3982
"SRG1",87
"YAL001C",110
"YAL002W",41
"YAL003W",376
"YAL004W",82
"YAL005C",972
"YAL007C",80
"YAL008W",44
"YAL009W",23
"YAL010C",29
"YAL011W",46
"YAL012W",104
"YAL013W",42
"YAL014C",19
"YAL015C",27
"YAL016C-A",13
"YAL016C-B",27
"YAL016W",169
"YAL017W",193
"YAL018C",1
"YAL019W",118
"YAL019W-A",3
"YAL020C",12
"YAL021C",46
"YAL022C",25
"YAL023C",160
"YAL024C",41
"YAL025C",55
"YAL026C",65
"YAL026C-A",5
"YAL027W",23
"YAL028W",10
"YAL029C",150
"YAL030W",83
"YAL031C",49
"YAL031W-A",17
"YAL032C",30
"YAL033W",16
"YAL034C",117
"YAL034C-B",6
"YAL034W-A",15
"YAL035W",484
"YAL036C",40
"YAL037C-A",14
"YAL037C-B",964
"YAL037W",3
"YAL038W",1391
"YAL039C",76
"YAL040C",43
"YAL041W",43
"YAL042C-A",5
"YAL042W",55
"YAL043C",24
"YAL044C",119
"YAL044W-A",39
"YAL045C",32
"YAL046C",23
"YAL047C",27
"YAL047W-A",2
"YAL048C",19
"YAL049C",193
"YAL051W",62
"YAL053W",102
"YAL054C",81
"YAL055W",72
"YAL056C-A",7
"YAL056W",106
"YAL058W",14
"YAL059C-A",6
"YAL059W",24
"YAL060W",86
"YAL061W",86
"YAL062W",104
"YAL063C",3
