"gene_id","count"
"Q0158",170686
"Q0020",96700
"YNR034W-A",6922
"YMR251W-A",6342
"LSR1",6294
"Q0130",6111
"YLR110C",5679
"YKL060C",5089
"YIR019C",4197
"SCR1",3982
"YBR072W",3933
"YNL160W",3506
"YFR033C",3039
"YPR036W-A",2969
"YJL052W",2947
"YJR121W",2794
"YBL099W",2715
"YER053C",2698
"YDR524C-B",2583
"YBR054W",2541
