"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YGR087C",459.39711109665,-4.93041115124751,0.269708091008549,5.6537861566872e-76,3.44598266250085e-72
"YCR105W",562.003375428933,7.28991155578506,0.405207431778977,3.03526831630997e-73,9.24998019395462e-70
"YGR088W",664.141593276478,-4.81550140161393,0.276314555161223,2.47320242678369e-69,5.02472293041553e-66
"YHR094C",486.763393214133,-4.30912855850497,0.2564516397691,1.04405433443639e-64,1.59087779209745e-61
"YKR097W",251.43965425522,5.23076224922717,0.335364675762465,1.23605771432179e-55,1.50675435375826e-52
"YPL095C",375.361534043276,-3.67470199862577,0.257048961856054,1.44746172326067e-47,1.4703798672123e-44
"YLR377C",299.906336209961,4.591651827738,0.325716429358498,2.86320974797361e-46,2.49303763055702e-43
"YPR036W-A",899.714197049792,3.93965554354186,0.304626166710882,1.75781526417194e-39,1.339235504391e-36
"YOR273C",398.967474246298,-3.09894306263995,0.243124651739763,1.56882061392654e-38,1.06244018243137e-35
"YNR034W-A",1713.46872503068,4.80494814400923,0.383715418910567,3.2558666688098e-37,1.98445073463958e-34
"YBR072W",1166.77207910643,3.86093064748054,0.31656805409773,2.06118679148059e-35,1.14208486309766e-32
"YNL036W",276.605303911409,3.44299233545453,0.283021492500953,3.89114092096347e-35,1.97637532610603e-32
"YDL243C",194.147026316332,4.02432145218499,0.334181976588749,1.31095809584814e-34,6.14637661091878e-32
"YGR201C",144.784793646003,-3.79113890710121,0.31861998378337,6.83570241409382e-34,2.97597187242156e-31
"YNL141W",180.827497402592,-3.38130462723049,0.28726568384972,3.56315641991364e-33,1.44782922529157e-30
"YJL052W",7723.68346575748,-2.7367385332792,0.246198892168565,6.80138091436864e-30,2.59090104206731e-27
"YIL155C",266.981233026421,3.58682036182102,0.328132109037705,5.89775517148034e-29,2.1145186923631e-26
"YIR019C",1355.667211734,3.13980900120565,0.29070580560899,2.24646106493915e-28,7.60676677266896e-26
"YGL117W",145.225666500801,4.32753588668632,0.400952156783975,2.57698544759058e-28,8.26669805424453e-26
"YNR071C",109.416597789838,5.67399738640401,0.525279790094211,6.30122362408628e-28,1.92029789944029e-25
"YMR319C",136.547168589162,-3.19905987186686,0.308269856500332,1.50621524918046e-26,4.37161044940709e-24
"YDR345C",1258.35030532113,-2.33998668547055,0.225882710139356,2.64121452383761e-26,7.31736478308648e-24
"YOL128C",188.554058827942,-2.98350507145145,0.290425439702852,3.62452785998349e-26,9.60499882895625e-24
"YDR406W",438.77320564039,-2.65193285496791,0.259968672402059,1.05266882151378e-25,2.67334019463603e-23
"YJL212C",247.474036281249,-2.88554480514502,0.289760782290688,8.96499066899611e-25,2.18566472510125e-22
"YCL025C",604.447537564512,3.36174810956523,0.336401563746439,9.62325771352675e-25,2.25591368322867e-22
"YBL049W",273.642757743601,-2.60688254076153,0.263428516664582,2.14929851851179e-24,4.85184239641828e-22
"YDL210W",102.709490216651,-3.26624803624218,0.335984538769899,8.18035996270603e-24,1.73036273372888e-21
"YDR536W",164.13670871592,2.9933677092725,0.306086741947866,8.51696177389111e-24,1.73036273372888e-21
"YJL034W",962.808774483775,2.26016629960792,0.230389071887249,8.26296632516526e-24,1.73036273372888e-21
"YKL071W",350.900113273891,3.08079832928008,0.315218533502556,8.97099220973235e-24,1.76381282317157e-21
"YMR145C",189.008098421723,2.56865850943351,0.264344494270066,1.84423219758114e-23,3.51268601383032e-21
"YDL039C",65.4646796131009,4.10249654629438,0.421055085143569,3.09866233209036e-23,5.72313542851235e-21
"YIL045W",160.116357328359,-3.07295075556886,0.322976324943286,1.82786054267127e-22,3.27670882575923e-20
"YGR142W",523.487252916085,4.02412749919121,0.428075454292287,3.19822690582737e-22,5.56948371171938e-20
"YPR002W",65.2643111382334,4.0813055824706,0.433576065702619,6.24736138530634e-22,1.05771299009561e-19
"YJL116C",974.162536520768,-2.81930657519986,0.309886435697494,5.15506155035047e-21,8.49191895929355e-19
"YAL060W",195.48373997199,-2.54399606691907,0.279907359511618,7.4242280739171e-21,1.1908071081717e-18
"YKR034W",291.359907065794,-2.25850012138379,0.24964097003951,1.33545125883428e-20,2.08707062117819e-18
"YGL055W",2148.50083033627,-2.00943611416828,0.222789001674146,1.56053595761156e-20,2.37786666541062e-18
"YPL262W",322.139143530593,2.39977580088444,0.268453028061837,2.86434817120892e-20,4.25809807402886e-18
"YMR305C",206.593602597344,3.70632488309362,0.425818832711405,1.77068289016512e-19,2.56959814656106e-17
"YKR033C",114.192248316968,-2.55749785742639,0.295781315139836,4.76270031940383e-19,6.75085080157357e-17
"YLR327C",212.892717197883,4.00549332467187,0.471622029474873,1.29277068420052e-18,1.79078120913686e-16
"YML128C",308.051317304747,-1.99413114127308,0.234800607263727,1.90661904873421e-18,2.58240957823e-16
"YKL165C",101.357454179573,2.84627576132437,0.336820104517891,1.9864443022274e-18,2.6320387004513e-16
"YKR009C",87.380525798356,-2.67986041793186,0.316261312645237,2.30596871580008e-18,2.99039985591522e-16
"SCR1",2649.73948252183,2.96509862798885,0.351818993649531,2.40333080683057e-18,3.05172943075673e-16
"YLR004C",78.0341369429868,-2.97053327431573,0.356441430530485,3.57902281928435e-18,4.45186613949758e-16
"YHR092C",90.2523443549886,-2.536641529853,0.302656163733938,3.70804820314287e-18,4.52011075963116e-16
"YBL048W",144.00013960643,-2.71316897032839,0.326348571169575,4.91542679207805e-18,5.87441692112073e-16
"YDR089W",99.6049562789156,-2.46862904555194,0.296251190149882,6.28869844361901e-18,7.37108019497267e-16
"YCR012W",5137.518786352,-2.06578904106061,0.250029834330156,1.08513951485965e-17,1.22480098945732e-15
"YOR348C",643.190568148782,-2.25965067598779,0.273810007188935,1.06754064953141e-17,1.22480098945732e-15
"YLR044C",875.318562804405,-2.07406814437072,0.252770680519274,1.88375019195556e-17,2.08753771272166e-15
"YOR047C",74.0667895766882,-2.65525723576476,0.323549414156427,2.01135141766871e-17,2.18914051619478e-15
"YPL171C",371.805882330824,2.4175102418778,0.295910026190725,2.21922695737209e-17,2.37301549213735e-15
"YDR070C",337.584011238697,-2.69993443253951,0.330088479122732,2.36741259127985e-17,2.48782409376736e-15
"YMR122W-A",188.93605111953,2.6769534940582,0.328865212665933,2.47890550566878e-17,2.56083543339851e-15
"YCR013C",2849.05261773911,-2.05106139631259,0.253294960934586,4.59047733708535e-17,4.66315989492254e-15
"YMR118C",90.045828581673,-2.49034044851679,0.308348496903108,4.83792677630113e-17,4.83396126255007e-15
"YOR092W",206.981444747906,-2.17914932198973,0.274419825695682,1.45633267443796e-16,1.43166897591925e-14
"YHL028W",129.749493453237,-2.64377074801054,0.333392800437431,1.6814888572145e-16,1.62677374360673e-14
"YGR248W",78.818474730944,-2.46959168610203,0.312768952262875,2.28335309310097e-16,2.17453704725788e-14
"YEL071W",243.72415899909,2.0924719193421,0.265761642468478,2.84257639343544e-16,2.66546201815216e-14
"YLR174W",161.374460323396,2.72508020551619,0.349132987685432,3.76339072337692e-16,3.47543431196702e-14
"YJR095W",50.8840848800698,3.61082548130751,0.465303142392484,8.19673138351515e-16,7.45657877351117e-14
"YOR386W",38.8769411244933,-4.56588685891547,0.585966130339513,1.20638360283573e-15,1.08131000871821e-13
"YIL053W",92.1557852103664,-2.63192309578564,0.341714032375679,1.33979865774202e-15,1.18348881433878e-13
"YEL069C",81.9449771236728,10.8021509426916,2.93556354448834,1.41719433631635e-15,1.23397135426402e-13
"YLR257W",472.593364329659,-1.72908390169299,0.22556456187244,1.76931959917715e-15,1.51887365591334e-13
"YDL223C",529.798376783455,-1.90674257204386,0.250982120269481,2.98032851150694e-15,2.52293087189372e-13
"YNR072W",40.8397821056707,4.95100271336698,0.645851041037692,4.29107922463696e-15,3.58275724303593e-13
"YPL106C",504.534991090152,1.83955067219772,0.243858685582231,4.47537866029991e-15,3.68613958574702e-13
"YLR303W",446.182217556033,2.24335924500498,0.298826921326572,4.58437090694564e-15,3.72556542371116e-13
"YKR076W",193.200706360334,2.03369022084259,0.274106486736323,9.85017473717444e-15,7.89958092408924e-13
"YOR161C",93.402854092594,-2.45349987766697,0.334035797787775,1.09637675039883e-14,8.67846271906608e-13
"YOL086C",837.515010024008,-1.68619956951485,0.230565515141789,2.66766211243703e-14,2.08453853529534e-12
"YDR524C-B",1458.6138364553,1.50678336848233,0.205662069443411,2.98502260328467e-14,2.27421409587751e-12
"YGR067C",50.0058793713665,2.83542266808828,0.39050460157689,2.98333115896913e-14,2.27421409587751e-12
"YER103W",267.923095480535,2.36180331830557,0.325669240544318,3.23359971316254e-14,2.43318398169453e-12
"YGR256W",215.090653101055,-2.05474722180592,0.288193209925276,6.91525691770482e-14,5.14005986748913e-12
"YMR002W",223.941788559977,1.8739427700867,0.263049260723863,1.0610968278883e-13,7.79203032045682e-12
"YPL271W",788.761305367063,1.72253432483087,0.242484280410173,1.28792746906669e-13,9.34514038566845e-12
"YPL223C",146.683938345622,-2.35673589173385,0.333611617825161,1.48530909529135e-13,1.06505399244715e-11
"YFR015C",69.4628240276988,2.52979507556763,0.360301826911024,1.66328430853255e-13,1.17880440238441e-11
"YOR375C",531.299693109921,1.60180237487355,0.22789786185134,2.36396476822446e-13,1.65613393819863e-11
"YOR020C",262.010696329523,1.65562463732817,0.235747095780212,2.44596263967607e-13,1.69410707827564e-11
"YNR067C",103.828916873096,2.00785636144561,0.289777651056559,3.66992917108628e-13,2.51328295480572e-11
"YNR001C",1011.81324793738,1.58156170013064,0.227248619613075,3.93697501410952e-13,2.66620696788862e-11
"YPR035W",747.489129558788,-1.63443298802459,0.235106200363861,4.00377772752643e-13,2.6816511262938e-11
"YJR094W-A",91.865563308136,2.14478972523939,0.312115659552827,5.4408589167282e-13,3.60456903233244e-11
"YJL159W",256.337341472035,2.09160280673365,0.304998448756775,5.54087461737734e-13,3.6313581497758e-11
"YPL250C",64.958041201667,2.44816144812604,0.358636331826934,6.92263559995739e-13,4.4886663810362e-11
"YBR162C",178.64923572121,2.50154925410308,0.368961756749226,7.82989021359341e-13,5.02349272124756e-11
"YLR216C",125.887569702213,2.30055256203276,0.337523576118562,7.9334759966689e-13,5.0369308541351e-11
"YNL030W",70.4390730017482,2.15577688326234,0.31634648580073,8.88804313138498e-13,5.52781866181546e-11
"YOL002C",172.549975446071,-1.78355366715901,0.262293015090979,8.87548502426462e-13,5.52781866181546e-11
"YGR125W",801.395240839537,-1.43313050341951,0.208947304951633,8.9885339447696e-13,5.53384993872432e-11
"YJR138W",196.089748786112,-1.64524007466796,0.240899108413973,9.47712303469847e-13,5.77630648964872e-11
