"gene_id","count"
"ETS1-1",0
"ETS1-2",0
"ETS2-1",0
"ETS2-2",0
"HRA1",6
"ICR1",39
"IRT1",15
"ITS1-1",0
"ITS1-2",0
"ITS2-1",0
"ITS2-2",0
"LSR1",6377
"NME1",371
"PWR1",8
"Q0010",0
"Q0017",0
"Q0020",43220
"Q0032",0
"Q0045",1745
"Q0050",0
"Q0055",0
"Q0060",74
"Q0065",0
"Q0070",0
"Q0075",38
"Q0080",5
"Q0085",548
"Q0092",0
"Q0105",1048
"Q0110",52
"Q0115",2
"Q0120",55
"Q0130",3252
"Q0140",8
"Q0142",0
"Q0143",0
"Q0144",0
"Q0158",54952
"Q0160",0
"Q0182",3
"Q0250",2396
"Q0255",2
"Q0275",1190
"Q0285",9
"Q0297",0
"RDN18-1",0
"RDN18-2",0
"RDN25-1",0
"RDN25-2",0
"RDN37-1",0
"RDN37-2",0
"RDN5-1",0
"RDN5-2",0
"RDN5-3",0
"RDN5-4",0
"RDN5-5",0
"RDN5-6",0
"RDN58-1",0
"RDN58-2",0
"RME2",29
"RME3",17
"RNA170",5
"RPR1",212
"RUF20",23
"RUF21",6
"RUF22",0
"RUF23",5
"RUF5-1",0
"RUF5-2",0
"SCR1",559
"SRG1",78
"YAL001C",109
"YAL002W",69
"YAL003W",202
"YAL004W",70
"YAL005C",542
"YAL007C",22
"YAL008W",71
"YAL009W",37
"YAL010C",13
"YAL011W",21
"YAL012W",19
"YAL013W",16
"YAL014C",18
"YAL015C",14
"YAL016C-A",26
"YAL016C-B",26
"YAL016W",180
"YAL017W",329
"YAL018C",0
"YAL019W",77
"YAL019W-A",7
"YAL020C",14
"YAL021C",103
"YAL022C",34
"YAL023C",80
"YAL024C",26
"YAL025C",11
"YAL026C",64
"YAL026C-A",6
"YAL027W",18
"YAL028W",16
"YAL029C",122
"YAL030W",70
"YAL031C",87
"YAL031W-A",33
"YAL032C",20
"YAL033W",22
"YAL034C",106
"YAL034C-B",2
"YAL034W-A",6
"YAL035W",156
"YAL036C",20
"YAL037C-A",8
"YAL037C-B",1707
"YAL037W",13
"YAL038W",2696
"YAL039C",47
"YAL040C",51
"YAL041W",54
"YAL042C-A",15
"YAL042W",56
"YAL043C",29
"YAL044C",58
"YAL044W-A",23
"YAL045C",7
"YAL046C",13
"YAL047C",10
"YAL047W-A",3
"YAL048C",29
"YAL049C",122
"YAL051W",96
"YAL053W",146
"YAL054C",83
"YAL055W",22
"YAL056C-A",7
"YAL056W",191
"YAL058W",24
"YAL059C-A",8
"YAL059W",23
"YAL060W",314
"YAL061W",169
"YAL062W",30
"YAL063C",8
