"gene_id","count"
"ETS1-1",0
"ETS1-2",0
"ETS2-1",0
"ETS2-2",0
"HRA1",9
"ICR1",31
"IRT1",16
"ITS1-1",0
"ITS1-2",0
"ITS2-1",0
"ITS2-2",0
"LSR1",6868
"NME1",354
"PWR1",9
"Q0010",0
"Q0017",0
"Q0020",49977
"Q0032",0
"Q0045",1979
"Q0050",0
"Q0055",0
"Q0060",79
"Q0065",0
"Q0070",0
"Q0075",41
"Q0080",8
"Q0085",564
"Q0092",0
"Q0105",1286
"Q0110",51
"Q0115",3
"Q0120",70
"Q0130",3856
"Q0140",15
"Q0142",0
"Q0143",0
"Q0144",0
"Q0158",63667
"Q0160",0
"Q0182",2
"Q0250",2689
"Q0255",0
"Q0275",1386
"Q0285",8
"Q0297",0
"RDN18-1",0
"RDN18-2",0
"RDN25-1",0
"RDN25-2",0
"RDN37-1",0
"RDN37-2",0
"RDN5-1",1
"RDN5-2",0
"RDN5-3",0
"RDN5-4",0
"RDN5-5",0
"RDN5-6",0
"RDN58-1",0
"RDN58-2",0
"RME2",37
"RME3",18
"RNA170",9
"RPR1",211
"RUF20",21
"RUF21",7
"RUF22",0
"RUF23",2
"RUF5-1",0
"RUF5-2",0
"SCR1",603
"SRG1",87
"YAL001C",133
"YAL002W",75
"YAL003W",263
"YAL004W",86
"YAL005C",675
"YAL007C",17
"YAL008W",71
"YAL009W",21
"YAL010C",15
"YAL011W",34
"YAL012W",11
"YAL013W",21
"YAL014C",9
"YAL015C",8
"YAL016C-A",24
"YAL016C-B",25
"YAL016W",231
"YAL017W",354
"YAL018C",0
"YAL019W",74
"YAL019W-A",7
"YAL020C",16
"YAL021C",78
"YAL022C",31
"YAL023C",90
"YAL024C",34
"YAL025C",20
"YAL026C",82
"YAL026C-A",6
"YAL027W",18
"YAL028W",12
"YAL029C",166
"YAL030W",79
"YAL031C",85
"YAL031W-A",26
"YAL032C",30
"YAL033W",12
"YAL034C",141
"YAL034C-B",3
"YAL034W-A",6
"YAL035W",185
"YAL036C",23
"YAL037C-A",17
"YAL037C-B",1714
"YAL037W",20
"YAL038W",2795
"YAL039C",62
"YAL040C",57
"YAL041W",45
"YAL042C-A",6
"YAL042W",70
"YAL043C",27
"YAL044C",80
"YAL044W-A",47
"YAL045C",36
"YAL046C",14
"YAL047C",11
"YAL047W-A",0
"YAL048C",35
"YAL049C",174
"YAL051W",100
"YAL053W",151
"YAL054C",74
"YAL055W",25
"YAL056C-A",7
"YAL056W",242
"YAL058W",17
"YAL059C-A",8
"YAL059W",26
"YAL060W",374
"YAL061W",229
"YAL062W",43
"YAL063C",8
