"gene_id","count"
"YBR025C",246
"YBR026C",105
"YBR027C",0
"YBR028C",39
"YBR029C",53
"YBR030W",17
"YBR031W",6
"YBR032W",4
"YBR033W",29
"YBR034C",44
"YBR035C",123
"YBR036C",133
"YBR037C",22
"YBR038W",7
"YBR039W",523
"YBR040W",3
"YBR041W",68
"YBR042C",31
"YBR043C",97
"YBR044C",82
"YBR045C",29
"YBR046C",98
"YBR047W",82
"YBR048W",30
"YBR049C",82
"YBR050C",20
"YBR051W",7
"YBR052C",107
"YBR053C",139
"YBR054W",3280
"YBR055C",75
"YBR056C-B",8
"YBR056W",183
"YBR056W-A",14
"YBR057C",35
"YBR058C",68
"YBR058C-A",57
"YBR059C",235
"YBR060C",38
"YBR061C",22
"YBR062C",27
"YBR063C",62
"YBR064W",19
"YBR065C",86
"YBR066C",18
"YBR067C",60
"YBR068C",54
"YBR069C",9
"YBR070C",24
"YBR071W",19
"YBR072C-A",3
"YBR072W",132
"YBR073W",43
"YBR074W",108
"YBR076C-A",21
"YBR076W",17
"YBR077C",39
"YBR078W",367
"YBR079C",95
"YBR080C",120
"YBR081C",119
"YBR082C",171
"YBR083W",19
"YBR084C-A",213
"YBR084W",42
"YBR085C-A",332
"YBR085W",2
"YBR086C",175
"YBR087W",26
"YBR088C",23
"YBR089C-A",60
"YBR089W",17
"YBR090C",4
"YBR091C",13
"YBR092C",5
"YBR093C",12
"YBR094W",34
"YBR095C",33
"YBR096W",37
"YBR097W",100
"YBR098W",56
"YBR099C",30
"YBR101C",106
"YBR102C",40
"YBR103C-A",2
"YBR103W",47
"YBR104W",19
"YBR105C",132
"YBR106W",236
"YBR107C",24
"YBR108W",47
"YBR109C",117
"YBR109W-A",2
"YBR110W",27
"YBR111C",268
"YBR111W-A",35
"YBR112C",51
"YBR113W",15
"YBR114W",58
"YBR115C",163
"YBR116C",3
"YBR117C",27
"YBR118W",62
"YBR119W",34
"YBR120C",42
"YBR121C",158
"YBR121C-A",0
"YBR122C",91
"YBR123C",35
"YBR124W",2
"YBR125C",23
"YBR126C",324
"YBR126W-A",10
"YBR126W-B",2
"YBR127C",631
"YBR128C",39
"YBR129C",46
"YBR130C",25
"YBR131C-A",1
"YBR131W",43
"YBR132C",76
"YBR133C",61
"YBR134W",5
"YBR135W",8
"YBR136W",141
"YBR137W",71
"YBR138C",33
"YBR139W",373
"YBR140C",795
"YBR141C",9
"YBR141W-A",2
"YBR142W",38
"YBR143C",125
"YBR144C",2
"YBR145W",75
"YBR146W",83
"YBR147W",95
"YBR148W",61
"YBR149W",302
"YBR150C",79
"YBR151W",130
"YBR152W",15
"YBR153W",16
"YBR154C",31
"YBR155W",32
"YBR156C",20
"YBR157C",13
"YBR158W",4
"YBR159W",107
"YBR160W",22
"YBR161W",52
"YBR162C",46
"YBR162W-A",47
"YBR163W",63
"YBR164C",26
"YBR165W",29
"YBR166C",34
"YBR167C",21
"YBR168W",32
"YBR169C",361
"YBR170C",72
"YBR171W",22
"YBR172C",51
"YBR173C",70
"YBR174C",2
"YBR175W",14
"YBR176W",34
"YBR177C",132
"YBR178W",10
"YBR179C",134
"YBR180W",4
"YBR181C",6
"YBR182C",47
"YBR182C-A",3
"YBR183W",173
"YBR184W",2
"YBR185C",54
"YBR186W",35
"YBR187W",36
"YBR188C",20
"YBR189W",90
"YBR190W",2
"YBR191W",51
"YBR191W-A",3
"YBR192W",41
"YBR193C",33
"YBR194W",5
"YBR195C",31
"YBR196C",1205
"YBR196C-A",6
"YBR196C-B",2
"YBR197C",12
"YBR198C",63
"YBR199W",154
"YBR200W",65
"YBR200W-A",3
"YBR201C-A",122
"YBR201W",25
"YBR202W",40
"YBR203W",342
"YBR204C",35
"YBR205W",30
"YBR206W",6
"YBR207W",45
"YBR208C",908
"YBR209W",0
"YBR210W",26
"YBR211C",20
"YBR212W",67
"YBR213W",2
"YBR214W",101
"YBR215W",69
"YBR216C",68
"YBR217W",12
"YBR218C",105
"YBR219C",0
"YBR220C",18
"YBR221C",213
"YBR221W-A",29
"YBR222C",223
"YBR223C",17
"YBR223W-A",0
"YBR224W",4
"YBR225W",73
"YBR226C",25
"YBR227C",42
"YBR228W",32
"YBR229C",101
"YBR230C",294
"YBR230W-A",41
"YBR231C",25
"YBR232C",3
"YBR233W",14
"YBR233W-A",5
"YBR234C",108
"YBR235W",292
"YBR236C",31
"YBR237W",87
"YBR238C",81
"YBR239C",96
"YBR240C",35
"YBR241C",78
"YBR242W",56
"YBR243C",18
"YBR244W",15
"YBR245C",67
"YBR246W",14
"YBR247C",21
"YBR248C",32
"YBR249C",66
"YBR250W",4
"YBR251W",41
"YBR252W",8
"YBR253W",35
"YBR254C",24
"YBR255C-A",64
"YBR255W",122
"YBR256C",90
"YBR257W",29
"YBR258C",14
"YBR259W",28
"YBR260C",52
"YBR261C",23
"YBR262C",52
"YBR263W",133
"YBR264C",27
"YBR265W",29
"YBR266C",15
"YBR267W",28
"YBR268W",32
"YBR269C",39
"YBR270C",23
"YBR271W",16
"YBR272C",37
"YBR273C",73
"YBR274W",31
"YBR275C",79
"YBR276C",86
"YBR277C",20
"YBR278W",49
"YBR279W",47
"YBR280C",38
"YBR281C",52
"YBR282W",28
"YBR283C",98
"YBR284W",39
"YBR285W",24
"YBR286W",482
"YBR287W",287
"YBR288C",29
"YBR289W",45
"YBR290W",117
"YBR291C",21
"YBR292C",11
"YBR293W",18
"YBR294W",59
"YBR295W",106
"YBR296C",1
"YBR296C-A",0
"YBR297W",35
"YBR298C",73
"YBR298C-A",0
"YBR299W",0
"YBR300C",0
"YBR301W",0
"YBR302C",0
"YCL001W",34
"YCL001W-A",4
"YCL001W-B",2
"YCL002C",64
"YCL004W",36
"YCL005W",18
"YCL005W-A",46
"YCL007C",34
"YCL008C",13
"YCL009C",27
"YCL010C",23
"YCL011C",100
"YCL012C",51
"YCL014W",92
"YCL016C",14
"YCL017C",206
"YCL018W",346
"YCL019W",0
"YCL020W",0
"YCL021W-A",5
"YCL022C",9
"YCL023C",3
"YCL024W",62
"YCL025C",100
"YCL026C-A",0
"YCL026C-B",14
"YCL027W",6
"YCL028W",33
"YCL029C",22
"YCL030C",106
"YCL031C",38
"YCL032W",50
"YCL033C",54
"YCL034W",119
"YCL035C",208
"YCL036W",29
"YCL037C",24
"YCL038C",152
"YCL039W",46
"YCL040W",350
"YCL041C",1
"YCL042W",0
"YCL043C",175
"YCL044C",12
"YCL045C",124
"YCL046W",13
"YCL047C",23
"YCL048W",6
"YCL048W-A",29
"YCL049C",73
"YCL050C",114
"YCL051W",58
"YCL052C",124
"YCL054W",46
"YCL054W-A",0
"YCL055W",13
"YCL056C",33
"YCL057C-A",188
"YCL057W",94
"YCL058C",69
