"gene_id","count"
"ETS1-1",0
"ETS1-2",0
"ETS2-1",0
"ETS2-2",0
"HRA1",4
"ICR1",22
"IRT1",17
"ITS1-1",0
"ITS1-2",0
"ITS2-1",0
"ITS2-2",0
"LSR1",7857
"NME1",1066
"PWR1",15
"Q0010",1
"Q0017",0
"Q0020",13234
"Q0032",0
"Q0045",1369
"Q0050",0
"Q0055",0
"Q0060",26
"Q0065",0
"Q0070",0
"Q0075",12
"Q0080",1
"Q0085",63
"Q0092",0
"Q0105",683
"Q0110",11
"Q0115",0
"Q0120",16
"Q0130",942
"Q0140",1
"Q0142",0
"Q0143",0
"Q0144",0
"Q0158",14761
"Q0160",0
"Q0182",0
"Q0250",1913
"Q0255",8
"Q0275",330
"Q0285",1
"Q0297",0
"RDN18-1",0
"RDN18-2",0
"RDN25-1",0
"RDN25-2",0
"RDN37-1",0
"RDN37-2",0
"RDN5-1",3
"RDN5-2",0
"RDN5-3",0
"RDN5-4",0
"RDN5-5",0
"RDN5-6",0
"RDN58-1",0
"RDN58-2",0
"RME2",28
"RME3",7
"RNA170",5
"RPR1",346
"RUF20",15
"RUF21",1
"RUF22",0
"RUF23",1
"RUF5-1",0
"RUF5-2",0
"SCR1",5048
"SRG1",45
"YAL001C",53
"YAL002W",20
"YAL003W",154
"YAL004W",51
"YAL005C",434
"YAL007C",52
"YAL008W",38
"YAL009W",18
"YAL010C",7
"YAL011W",7
"YAL012W",82
"YAL013W",23
"YAL014C",14
"YAL015C",12
"YAL016C-A",12
"YAL016C-B",7
"YAL016W",147
"YAL017W",161
"YAL018C",1
"YAL019W",33
"YAL019W-A",7
"YAL020C",21
"YAL021C",70
"YAL022C",27
"YAL023C",105
"YAL024C",14
"YAL025C",16
"YAL026C",29
"YAL026C-A",4
"YAL027W",7
"YAL028W",2
"YAL029C",82
"YAL030W",36
"YAL031C",38
"YAL031W-A",11
"YAL032C",17
"YAL033W",9
"YAL034C",31
"YAL034C-B",2
"YAL034W-A",5
"YAL035W",113
"YAL036C",32
"YAL037C-A",1
"YAL037C-B",427
"YAL037W",4
"YAL038W",696
"YAL039C",42
"YAL040C",25
"YAL041W",22
"YAL042C-A",1
"YAL042W",36
"YAL043C",27
"YAL044C",55
"YAL044W-A",18
"YAL045C",12
"YAL046C",26
"YAL047C",1
"YAL047W-A",0
"YAL048C",18
"YAL049C",130
"YAL051W",40
"YAL053W",106
"YAL054C",80
"YAL055W",12
"YAL056C-A",5
"YAL056W",104
"YAL058W",16
"YAL059C-A",8
"YAL059W",21
"YAL060W",33
"YAL061W",47
"YAL062W",46
"YAL063C",3
