"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"tA(UGC)Q",2,0,0,0,0,0
"tC(GCA)B",0,0,0,0,0,0
"tC(GCA)G",0,0,0,0,0,0
"tC(GCA)P1",2,0,0,0,1,0
"tC(GCA)P2",0,0,0,0,0,0
"tC(GCA)Q",4,0,1,0,1,1
"tD(GUC)B",0,0,0,0,0,0
"tD(GUC)D",0,1,0,0,1,0
"tD(GUC)G1",0,0,0,0,0,0
"tD(GUC)G2",2,1,0,0,0,0
"tD(GUC)I1",1,1,0,0,0,0
"tD(GUC)I2",0,0,0,0,0,0
"tD(GUC)J1",1,0,0,0,0,0
"tD(GUC)J2",0,0,0,0,0,0
"tD(GUC)J3",0,0,0,0,0,0
"tD(GUC)J4",0,0,0,0,0,0
"tD(GUC)K",0,0,0,0,0,0
"tD(GUC)L1",0,0,0,0,0,0
"tD(GUC)L2",0,0,0,0,0,0
"tD(GUC)M",0,0,0,0,0,0
"tD(GUC)N",0,0,0,0,0,0
"tD(GUC)O",0,0,0,0,0,0
"tD(GUC)Q",0,0,3,3,1,1
"tE(CUC)D",0,0,0,0,0,0
"tE(CUC)I",0,1,0,0,0,0
"tE(UUC)B",0,0,0,0,0,0
"tE(UUC)C",0,0,0,0,0,0
"tE(UUC)E1",0,0,0,0,0,0
"tE(UUC)E2",0,0,0,0,0,0
"tE(UUC)E3",0,0,0,0,0,0
"tE(UUC)G1",0,1,0,2,2,3
"tE(UUC)G2",0,0,0,0,0,0
"tE(UUC)G3",0,0,0,0,0,0
"tE(UUC)I",0,0,0,0,0,0
"tE(UUC)J",0,0,0,0,0,0
"tE(UUC)K",0,0,0,0,0,0
"tE(UUC)L",1,0,0,0,0,0
"tE(UUC)M",0,0,0,0,0,0
"tE(UUC)P",0,0,0,0,0,0
"tE(UUC)Q",1,2,4,1,0,0
"tF(GAA)B",0,0,0,0,0,0
"tF(GAA)D",0,0,0,0,0,0
"tF(GAA)F",0,0,0,0,0,0
"tF(GAA)G",0,0,0,0,0,0
"tF(GAA)H1",0,0,2,1,1,0
"tF(GAA)H2",0,1,0,0,0,0
"tF(GAA)M",0,1,0,0,0,0
"tF(GAA)N",0,0,0,0,0,0
"tF(GAA)P1",2,1,2,0,1,1
"tF(GAA)P2",0,0,0,0,0,0
"tF(GAA)Q",1,1,0,0,0,0
"tG(CCC)D",0,0,0,1,2,1
"tG(CCC)O",22,21,16,14,14,16
"tG(GCC)B",0,0,0,0,0,0
"tG(GCC)C",0,0,0,0,0,0
"tG(GCC)D1",0,0,0,0,0,0
"tG(GCC)D2",0,0,0,0,0,0
"tG(GCC)E",0,0,0,0,0,0
"tG(GCC)F1",0,0,0,0,0,0
"tG(GCC)F2",0,0,0,0,0,0
"tG(GCC)G1",1,1,0,0,0,0
"tG(GCC)G2",0,0,0,0,0,0
"tG(GCC)J1",0,1,0,0,0,0
"tG(GCC)J2",0,0,0,0,0,0
"tG(GCC)M",0,0,0,0,0,0
"tG(GCC)O1",1,0,0,0,3,0
"tG(GCC)O2",0,0,1,1,0,0
"tG(GCC)P1",1,0,0,0,0,0
"tG(GCC)P2",1,0,0,0,0,0
"tG(UCC)G",0,0,0,0,0,0
"tG(UCC)N",0,0,0,0,0,0
"tG(UCC)O",0,0,0,0,0,0
"tG(UCC)Q",0,1,0,0,0,2
"tH(GUG)E1",1,4,3,2,5,4
"tH(GUG)E2",3,0,0,0,0,0
"tH(GUG)G1",4,5,3,0,0,1
"tH(GUG)G2",0,0,0,0,0,0
"tH(GUG)H",0,0,0,0,0,0
"tH(GUG)K",0,0,0,0,0,0
"tH(GUG)M",0,0,1,0,0,1
"tH(GUG)Q",2,0,0,0,0,0
"tI(AAU)B",0,0,0,0,0,0
"tI(AAU)D",0,0,0,1,0,0
"tI(AAU)E1",0,0,0,0,0,0
"tI(AAU)E2",0,0,0,0,0,0
"tI(AAU)G",0,0,0,0,0,1
"tI(AAU)I1",0,0,0,0,0,0
"tI(AAU)I2",0,0,0,0,0,0
"tI(AAU)L1",0,0,0,0,0,1
"tI(AAU)L2",0,0,0,0,0,0
"tI(AAU)N1",1,0,0,0,0,0
"tI(AAU)N2",0,0,0,0,0,0
"tI(AAU)P1",0,0,0,0,0,0
"tI(AAU)P2",0,1,0,0,0,0
"tI(GAU)Q",2,0,1,0,0,0
"tI(UAU)D",0,0,0,0,0,0
"tI(UAU)L",0,0,0,0,0,0
"tK(CUU)C",1,0,0,0,0,0
"tK(CUU)D1",0,0,0,0,0,0
"tK(CUU)D2",0,0,0,0,0,0
"tK(CUU)E1",0,0,0,0,0,0
"tK(CUU)E2",0,0,0,0,0,0
"tK(CUU)F",0,0,0,0,0,0
"tK(CUU)G1",0,0,0,0,0,0
"tK(CUU)G2",0,0,0,0,0,0
"tK(CUU)G3",0,0,0,0,0,0
"tK(CUU)I",0,0,0,0,0,0
"tK(CUU)J",0,0,0,0,0,0
"tK(CUU)K",0,0,0,0,0,0
"tK(CUU)M",0,0,0,0,0,0
"tK(CUU)P",1,0,0,1,0,0
"tK(UUU)D",2,2,7,1,1,3
"tK(UUU)G1",0,0,0,0,0,0
"tK(UUU)G2",1,0,0,0,0,0
"tK(UUU)K",0,1,0,7,2,1
"tK(UUU)L",0,0,0,0,0,0
"tK(UUU)O",0,3,0,1,1,0
"tK(UUU)P",0,0,1,0,0,0
"tK(UUU)Q",5,0,1,1,0,2
"tL(CAA)A",1,0,0,0,0,0
"tL(CAA)C",0,0,0,0,0,0
"tL(CAA)D",0,0,1,0,0,0
"tL(CAA)G1",0,0,0,0,0,0
"tL(CAA)G2",0,0,0,0,0,0
"tL(CAA)G3",0,0,0,0,0,0
"tL(CAA)K",0,0,0,0,0,0
"tL(CAA)L",0,0,0,0,0,0
"tL(CAA)M",0,1,0,0,0,0
"tL(CAA)N",0,0,1,0,0,0
"tL(GAG)G",1,2,0,0,1,0
"tL(UAA)B1",0,0,0,0,0,0
"tL(UAA)B2",0,0,3,0,0,1
"tL(UAA)D",0,0,0,0,0,1
"tL(UAA)J",0,0,0,0,0,0
"tL(UAA)K",0,0,0,0,0,0
"tL(UAA)L",0,0,0,0,0,0
"tL(UAA)N",0,0,0,0,0,0
"tL(UAA)Q",0,0,0,0,0,0
"tL(UAG)J",0,0,0,0,0,0
"tL(UAG)L1",0,0,0,0,0,0
"tL(UAG)L2",0,0,0,0,0,0
"tM(CAU)C",0,1,0,0,0,0
"tM(CAU)D",0,0,0,0,1,0
"tM(CAU)E",1,0,0,0,0,1
"tM(CAU)J1",0,0,0,0,0,0
"tM(CAU)J2",0,0,1,0,0,0
"tM(CAU)J3",0,0,0,0,0,0
"tM(CAU)M",0,0,0,0,0,0
"tM(CAU)O1",0,0,0,0,0,0
"tM(CAU)O2",1,0,0,1,0,1
"tM(CAU)P",0,0,1,0,0,1
"tM(CAU)Q1",2,0,0,1,0,2
"tM(CAU)Q2",0,0,0,0,0,0
"tN(GUU)C",0,0,0,0,0,0
"tN(GUU)F",0,0,0,0,0,0
"tN(GUU)G",1,0,0,0,0,0
"tN(GUU)K",0,0,0,0,0,0
"tN(GUU)L",0,0,0,0,0,0
"tN(GUU)N1",0,0,0,0,0,0
