"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"YDR267C",46,33,22,23,15,25
"YDR268W",30,26,14,6,22,12
"YDR269C",9,4,5,7,7,7
"YDR270W",75,48,60,90,111,110
"YDR271C",25,29,10,29,26,20
"YDR272W",115,142,41,134,159,186
"YDR273W",12,35,8,48,68,47
"YDR274C",1,7,2,7,9,6
"YDR275W",79,77,22,97,99,115
"YDR276C",669,656,361,561,593,547
"YDR277C",63,54,36,95,94,87
"YDR278C",0,0,0,0,2,2
"YDR279W",30,25,12,24,21,24
"YDR280W",61,44,29,26,26,28
"YDR281C",5,7,3,21,21,19
"YDR282C",23,20,10,18,22,25
"YDR283C",196,149,100,173,195,208
"YDR284C",161,116,72,129,156,142
"YDR285W",20,44,2,15,21,29
"YDR286C",30,25,13,19,14,21
"YDR287W",25,11,5,25,24,17
"YDR288W",36,30,11,28,43,42
"YDR289C",59,73,13,27,38,36
"YDR290W",3,4,1,0,2,7
"YDR291W",88,51,42,57,82,69
"YDR292C",69,48,23,27,54,45
"YDR293C",490,389,325,997,1014,949
"YDR294C",144,99,93,65,65,77
"YDR295C",84,101,18,31,43,61
"YDR296W",112,147,34,28,54,51
"YDR297W",284,246,135,176,169,186
"YDR298C",574,509,338,229,224,224
"YDR299W",105,118,19,16,29,26
"YDR300C",61,32,21,41,36,39
"YDR301W",88,76,48,57,83,80
"YDR302W",58,50,21,21,26,27
"YDR303C",72,55,16,42,32,50
"YDR304C",212,189,140,139,159,152
"YDR305C",37,42,19,27,38,44
"YDR306C",102,128,40,90,115,138
"YDR307W",63,40,28,56,63,78
"YDR308C",27,24,5,6,8,14
"YDR309C",60,67,23,39,58,49
"YDR310C",128,107,48,107,137,144
"YDR311W",74,71,25,47,59,52
"YDR312W",39,36,14,18,21,15
"YDR313C",124,111,66,144,150,140
"YDR314C",47,24,21,53,67,56
"YDR315C",33,25,10,21,37,35
"YDR316W",167,263,30,56,76,73
"YDR316W-A",0,0,0,0,0,0
"YDR316W-B",0,0,0,0,0,0
"YDR317W",15,16,14,29,24,33
"YDR318W",52,59,22,28,30,32
"YDR319C",23,25,15,43,37,34
"YDR320C",50,77,16,33,24,23
"YDR320C-A",94,81,34,15,20,50
"YDR320W-B",0,3,1,0,0,0
"YDR321W",27,18,17,13,20,11
"YDR322C-A",564,520,232,117,167,160
"YDR322W",120,106,58,65,58,65
"YDR323C",21,29,9,20,19,26
"YDR324C",65,47,27,14,17,26
"YDR325W",44,48,27,24,29,24
"YDR326C",152,118,49,156,158,163
"YDR327W",50,57,23,33,31,49
"YDR328C",112,105,57,60,80,109
"YDR329C",111,97,48,84,74,78
"YDR330W",54,50,16,51,54,52
"YDR331W",58,44,33,40,32,40
"YDR332W",28,26,8,30,44,31
"YDR333C",62,51,29,44,50,59
"YDR334W",83,94,42,97,140,129
"YDR335W",251,248,150,160,209,214
"YDR336W",31,31,12,15,16,25
"YDR337W",122,128,37,24,50,53
"YDR338C",57,34,45,87,98,116
"YDR339C",54,62,20,32,33,41
"YDR340W",0,0,0,0,0,0
"YDR341C",261,157,123,124,133,126
"YDR342C",5,11,2,4,6,8
"YDR343C",0,0,0,2,0,0
"YDR344C",2,0,0,4,6,7
"YDR345C",455,488,298,2014,2295,2133
"YDR346C",259,197,119,115,159,157
"YDR347W",118,78,51,52,67,61
"YDR348C",63,74,31,47,60,55
"YDR349C",74,67,50,70,92,88
"YDR350C",62,48,35,44,57,50
"YDR351W",84,57,36,65,74,83
"YDR352W",62,45,36,43,43,54
"YDR353W",159,115,76,82,91,90
"YDR354C-A",11,3,12,4,2,4
"YDR354W",58,50,34,14,13,19
"YDR355C",12,9,4,1,0,1
"YDR356W",149,284,24,53,61,56
"YDR357C",53,61,11,17,31,29
"YDR358W",81,79,35,70,122,102
"YDR359C",63,86,20,70,88,72
"YDR360W",6,4,6,5,6,5
"YDR361C",79,84,40,53,64,87
"YDR362C",46,41,30,40,47,35
"YDR363W",35,58,13,37,37,47
"YDR363W-A",145,204,35,28,36,45
"YDR364C",40,33,27,24,33,56
"YDR365C",53,130,18,53,62,56
"YDR365W-A",0,0,0,0,0,0
"YDR365W-B",0,0,0,0,0,0
"YDR366C",4,2,3,5,2,3
"YDR367W",72,49,43,36,50,47
"YDR368W",239,204,102,141,171,155
"YDR369C",50,28,11,30,45,30
"YDR370C",48,38,15,31,33,34
"YDR371C-A",0,3,0,3,5,4
"YDR371W",28,22,9,14,35,43
"YDR372C",230,183,84,75,93,84
"YDR373W",92,71,47,40,51,48
"YDR374C",6,6,2,1,1,4
"YDR374W-A",18,18,7,18,32,17
"YDR375C",92,80,40,71,78,75
"YDR376W",87,58,50,45,83,59
"YDR377W",665,502,275,238,269,271
"YDR378C",94,66,43,44,59,51
"YDR379C-A",124,154,36,49,42,57
"YDR379W",89,111,20,120,122,156
"YDR380W",116,47,35,13,18,13
"YDR381C-A",88,140,36,33,56,69
"YDR381W",257,245,145,134,187,189
"YDR382W",320,193,108,123,159,140
"YDR383C",24,31,11,11,10,12
"YDR384C",10,9,3,16,14,6
"YDR385W",51,37,34,52,53,40
"YDR386W",39,38,15,35,30,26
"YDR387C",50,28,43,49,26,34
"YDR388W",95,158,54,68,94,92
"YDR389W",101,85,51,72,76,81
"YDR390C",69,67,27,43,61,57
"YDR391C",20,13,9,47,57,46
"YDR392W",47,55,27,35,38,46
"YDR393W",76,68,19,35,39,40
"YDR394W",269,234,145,106,159,140
"YDR395W",117,61,79,67,67,93
"YDR396W",28,35,21,20,25,26
"YDR397C",34,37,12,19,34,36
"YDR398W",97,88,51,50,55,63
"YDR399W",273,195,99,107,156,148
"YDR400W",90,93,44,27,36,26
"YDR401W",4,2,0,1,3,4
"YDR402C",12,11,6,3,7,11
"YDR403W",19,11,11,12,17,14
"YDR404C",38,44,35,25,37,29
"YDR405W",59,109,28,36,23,30
"YDR406W",114,148,92,680,844,802
"YDR406W-A",2,8,1,11,20,12
"YDR407C",98,56,26,62,63,74
"YDR408C",88,83,51,47,39,44
"YDR409W",23,38,4,36,43,42
"YDR410C",30,18,23,19,24,21
"YDR411C",83,88,52,38,38,34
"YDR412W",63,98,16,19,36,31
"YDR413C",42,63,6,18,27,23
"YDR414C",36,36,28,13,27,25
"YDR415C",44,32,22,20,23,24
"YDR416W",53,44,28,40,39,46
"YDR417C",291,179,121,115,118,116
"YDR418W",458,322,232,160,188,201
"YDR419W",40,29,17,60,72,59
"YDR420W",134,192,83,176,191,206
"YDR421W",130,102,49,63,64,69
"YDR422C",79,59,40,92,84,109
"YDR423C",29,39,15,24,31,32
"YDR424C",60,58,21,30,48,47
"YDR425W",56,56,14,62,70,61
"YDR426C",15,35,2,7,17,21
"YDR427W",205,181,86,78,101,109
"YDR428C",15,14,6,4,11,5
"YDR429C",199,197,62,73,69,91
"YDR430C",62,44,29,75,73,77
"YDR431W",2,1,1,2,2,4
"YDR432W",37,31,18,16,22,24
"YDR433W",3,3,0,3,2,1
"YDR434W",73,60,41,46,51,53
"YDR435C",55,35,40,50,66,49
"YDR436W",47,35,27,73,63,60
"YDR437W",2,2,2,6,6,3
"YDR438W",23,22,19,47,73,51
"YDR439W",11,18,5,17,21,15
"YDR440W",28,39,12,14,23,22
"YDR441C",62,38,58,30,29,54
"YDR442W",14,8,7,4,11,11
"YDR443C",98,58,42,78,105,88
"YDR444W",68,68,34,74,99,91
"YDR445C",8,18,4,4,14,7
"YDR446W",0,4,0,1,0,1
"YDR447C",173,173,60,46,56,67
"YDR448W",22,29,14,22,21,18
"YDR449C",23,18,3,12,15,9
"YDR450W",204,157,67,66,84,88
"YDR451C",56,29,27,12,15,14
"YDR452W",199,281,108,161,211,175
"YDR453C",12,19,11,10,18,9
"YDR454C",88,82,59,52,69,73
"YDR455C",25,7,18,17,24,15
"YDR456W",280,179,200,292,302,242
"YDR457W",496,345,293,627,641,671
"YDR458C",96,155,27,93,112,135
"YDR459C",25,17,13,27,43,29
"YDR460W",45,60,12,30,36,33
"YDR461C-A",18,33,7,15,17,17
"YDR461W",35,30,13,9,14,21
"YDR462W",47,56,20,16,36,17
"YDR463W",100,114,23,91,102,121
"YDR464C-A",2,5,2,6,11,9
"YDR464W",111,246,26,117,137,156
"YDR465C",34,29,20,21,22,25
"YDR466W",79,82,34,101,115,121
"YDR467C",28,37,6,24,25,40
"YDR468C",44,36,15,32,26,41
"YDR469W",20,30,7,13,17,25
"YDR470C",60,54,31,48,49,50
"YDR471W",242,195,95,77,97,104
"YDR472W",127,117,97,40,44,44
"YDR473C",72,142,16,51,68,76
"YDR475C",74,56,41,126,128,130
"YDR476C",42,29,42,39,39,27
"YDR477W",43,36,22,50,37,47
"YDR478W",15,16,8,13,19,15
"YDR479C",43,58,31,54,67,57
"YDR480W",18,15,11,17,22,9
"YDR481C",124,95,62,143,143,174
"YDR482C",15,22,11,13,20,21
"YDR483W",326,213,216,318,328,277
"YDR484W",31,43,12,29,36,38
"YDR485C",130,239,26,72,135,103
"YDR486C",82,64,19,35,44,55
"YDR487C",445,365,235,146,183,156
"YDR488C",6,7,8,4,0,1
"YDR489W",15,10,5,4,11,8
"YDR490C",43,69,37,62,76,74
"YDR491C",47,52,22,80,87,75
"YDR492W",191,214,107,287,260,245
"YDR493W",37,52,22,13,14,27
"YDR494W",129,127,34,57,77,98
"YDR495C",115,125,21,56,67,79
"YDR496C",105,108,32,39,58,58
"YDR497C",554,521,321,240,274,259
"YDR498C",54,33,20,21,25,34
"YDR499W",61,70,16,44,54,65
"YDR500C",290,257,124,76,117,95
"YDR501W",17,7,10,3,4,3
"YDR502C",85,66,69,60,82,47
"YDR503C",26,22,10,13,16,8
"YDR504C",38,54,13,49,40,44
"YDR505C",288,204,119,236,266,291
"YDR506C",25,15,21,29,38,40
"YDR507C",124,166,53,28,39,46
"YDR508C",29,35,18,8,7,5
"YDR509W",5,6,3,1,1,1
"YDR510C-A",48,56,19,18,24,29
"YDR510W",205,200,90,90,127,120
"YDR511W",74,84,30,18,32,27
"YDR512C",80,102,38,30,39,35
"YDR513W",541,507,330,220,277,302
"YDR514C",40,37,21,24,26,27
"YDR515W",91,121,13,28,30,33
"YDR516C",285,337,167,301,378,309
"YDR517W",74,62,45,76,77,52
"YDR518W",59,41,23,31,47,43
"YDR519W",87,99,51,33,31,36
"YDR520C",54,47,30,41,54,46
"YDR521W",4,13,4,3,9,4
"YDR522C",4,8,9,2,12,5
"YDR523C",16,17,8,14,26,22
"YDR524C",77,51,37,74,78,96
"YDR524C-A",0,3,0,0,0,2
"YDR524C-B",3092,2583,1296,691,829,752
"YDR524W-C",866,839,281,287,270,249
"YDR525W",0,0,0,0,0,0
"YDR525W-A",61,59,55,31,27,30
"YDR526C",21,28,11,23,24,23
"YDR527W",93,108,30,62,77,83
"YDR528W",72,107,22,32,37,45
"YDR529C",1503,2159,574,405,521,553
"YDR530C",114,115,71,99,138,126
"YDR531W",74,42,34,22,35,26
"YDR532C",54,92,5,18,25,31
"YDR533C",1183,893,705,780,934,949
"YDR534C",5,6,6,5,9,9
"YDR535C",13,2,7,3,9,2
"YDR536W",366,280,234,39,36,32
"YDR537C",18,12,7,12,10,12
"YDR538W",28,12,9,14,15,12
"YDR539W",87,60,67,61,98,108
"YDR540C",10,15,0,10,14,15
"YDR541C",29,19,20,39,61,54
"YDR542W",0,0,0,0,0,0
"YDR543C",0,0,0,0,0,0
"YDR544C",0,0,0,0,0,0
"YDR545C-A",0,0,0,0,0,0
"YDR545W",0,0,0,0,0,0
"YEL001C",53,48,33,43,49,42
"YEL002C",232,136,113,139,145,166
"YEL003W",31,93,5,14,21,43
"YEL004W",30,23,11,20,33,19
"YEL005C",36,49,8,39,33,39
"YEL006W",56,34,29,64,91,80
"YEL007W",84,156,34,62,56,63
"YEL008C-A",0,1,1,1,1,1
"YEL008W",4,0,3,3,0,0
"YEL009C",2849,2495,992,1336,1718,1552
"YEL009C-A",2,3,1,1,2,4
"YEL010W",3,1,3,5,4,0
"YEL011W",195,292,131,331,382,366
"YEL012W",247,335,88,111,134,144
"YEL013W",121,62,79,107,116,109
"YEL014C",6,10,5,2,5,5
"YEL015W",60,42,24,33,34,42
"YEL016C",24,23,22,21,32,15
"YEL017C-A",537,504,276,375,350,313
"YEL017W",22,18,15,17,7,15
"YEL018C-A",13,27,5,5,9,10
"YEL018W",33,44,11,20,16,29
"YEL019C",27,28,11,23,32,30
"YEL020C",99,83,40,114,127,136
"YEL020C-B",83,69,29,12,21,28
"YEL020W-A",147,173,41,49,48,59
"YEL021W",65,53,28,42,51,41
"YEL022W",98,58,40,58,92,71
"YEL023C",21,37,10,23,44,34
"YEL024W",1182,698,535,405,516,475
"YEL025C",121,105,79,94,92,113
"YEL026W",111,73,55,55,50,38
"YEL027W",740,452,405,484,540,449
"YEL028W",16,13,2,7,16,13
"YEL029C",54,39,27,31,35,41
"YEL030C-A",0,0,1,2,3,1
"YEL030W",13,15,4,10,18,16
"YEL031W",534,337,417,279,271,230
"YEL032C-A",3,4,4,6,8,14
"YEL032W",67,49,36,85,92,69
"YEL033W",192,206,105,170,178,154
"YEL034C-A",652,570,412,562,610,589
"YEL034W",666,512,338,499,585,547
"YEL035C",3,3,1,5,5,5
"YEL036C",50,54,22,41,37,36
"YEL037C",68,78,54,44,53,71
"YEL038W",30,24,27,50,29,37
"YEL039C",258,459,64,218,286,374
"YEL040W",15,12,5,9,11,7
"YEL041W",92,39,44,62,92,72
"YEL042W",113,65,57,41,51,35
"YEL043W",59,62,26,81,72,70
"YEL044W",17,21,19,26,30,20
"YEL045C",10,11,4,21,10,16
"YEL046C",79,39,53,63,75,62
"YEL047C",54,22,39,50,33,37
"YEL048C",19,4,12,2,4,2
"YEL049W",0,0,0,3,2,0
"YEL050C",139,147,70,75,82,82
"YEL050W-A",41,71,25,35,39,31
"YEL051W",277,235,80,133,141,164
"YEL052W",161,88,90,79,100,71
"YEL053C",71,56,26,29,32,36
"YEL053W-A",133,39,79,22,36,34
"YEL054C",225,107,131,51,65,59
"YEL055C",130,81,56,92,120,115
"YEL056W",39,27,29,26,27,22
"YEL057C",3,6,2,3,3,3
"YEL058W",105,73,77,113,134,125
"YEL059C-A",15,29,7,14,15,16
"YEL059W",10,8,4,5,8,8
"YEL060C",443,585,491,1398,1517,1548
"YEL061C",80,102,16,35,37,63
"YEL062W",55,30,20,71,74,69
"YEL063C",455,353,314,777,797,739
"YEL064C",43,29,47,47,49,42
"YEL065W",41,36,31,58,65,74
"YEL066W",158,117,112,55,74,75
"YEL067C",27,16,6,8,11,13
"YEL068C",22,24,24,14,20,29
"YEL069C",146,301,83,0,0,0
"YEL070W",0,3,2,0,0,0
"YEL071W",534,374,304,86,93,94
"YEL072W",72,62,36,26,50,28
"YEL073C",13,9,7,11,15,15
"YEL074W",3,6,0,1,6,1
"YEL075C",0,0,0,0,0,0
"YEL075W-A",0,0,0,0,0,0
"YEL076C",0,0,0,0,0,0
"YEL076C-A",0,0,0,0,0,0
"YEL077C",0,0,0,0,0,0
"YEL077W-A",0,0,0,0,0,0
"YER001W",215,147,92,224,251,255
"YER002W",174,323,16,51,60,79
"YER003C",148,106,90,51,55,57
"YER004W",137,86,107,73,97,77
"YER005W",45,21,29,56,54,68
"YER006C-A",3,1,1,8,3,5
"YER006W",128,94,68,55,66,69
"YER007C-A",47,51,12,27,26,23
"YER007W",14,11,4,26,25,16
"YER008C",149,254,41,165,184,186
"YER009W",199,173,114,94,88,88
"YER010C",44,42,18,80,86,92
"YER011W",0,2,0,6,12,8
"YER012W",271,213,78,69,118,113
"YER013W",82,105,49,107,114,106
"YER014C-A",23,24,9,27,21,20
"YER014W",65,45,33,49,55,45
"YER015W",18,12,15,27,39,31
"YER016W",52,52,16,18,23,26
"YER017C",144,169,97,121,130,134
"YER018C",21,21,26,15,17,19
"YER019C-A",161,151,64,103,98,111
"YER019W",25,33,22,26,25,32
"YER020W",74,70,33,61,84,55
"YER021W",348,277,150,157,227,177
"YER022W",70,46,21,32,46,45
"YER023C-A",11,6,8,15,14,9
"YER023W",49,79,41,61,59,53
"YER024W",126,103,90,57,62,53
"YER025W",207,157,124,152,158,168
"YER026C",203,187,114,140,167,148
"YER027C",71,51,43,56,50,37
"YER028C",16,23,5,33,51,46
"YER029C",38,76,15,31,35,29
"YER030W",109,253,11,28,41,51
"YER031C",101,64,47,54,75,79
"YER032W",44,39,10,12,27,34
"YER033C",41,60,21,80,81,107
"YER034W",19,44,6,22,33,28
"YER035W",114,148,52,186,191,193
"YER036C",286,185,190,304,351,339
"YER037W",111,100,39,172,214,259
"YER038C",19,30,9,29,44,65
"YER038W-A",32,25,21,53,51,40
"YER039C",46,36,39,57,60,54
"YER039C-A",15,10,10,18,20,19
"YER040W",61,50,24,70,71,82
"YER041W",29,33,14,31,37,53
"YER042W",47,54,24,41,46,60
"YER043C",476,253,256,342,294,334
"YER044C",248,209,126,211,290,309
"YER044C-A",18,8,4,9,9,8
"YER045C",278,285,112,165,202,214
"YER046W",43,47,12,16,22,19
"YER046W-A",27,21,6,15,14,16
"YER047C",98,95,38,68,96,66
"YER048C",128,88,33,65,86,90
"YER048W-A",86,93,44,22,32,21
"YER049W",128,67,65,65,76,80
"YER050C",147,186,24,26,46,56
"YER051W",52,43,30,47,64,56
"YER052C",259,232,177,73,88,65
"YER053C",2072,2698,1089,802,891,786
"YER053C-A",342,396,191,389,455,407
"YER054C",78,131,22,84,101,93
"YER055C",130,104,89,41,48,36
"YER056C",556,293,283,584,648,555
"YER056C-A",162,191,49,30,53,60
"YER057C",230,193,151,141,155,169
"YER058W",38,49,10,18,23,27
"YER059W",44,54,17,46,62,67
"YER060W",39,35,25,56,88,52
"YER060W-A",23,11,4,18,9,8
"YER061C",39,33,20,55,56,60
"YER062C",101,85,55,186,223,190
"YER063W",141,148,66,70,103,75
"YER064C",10,6,7,2,10,5
"YER065C",213,158,99,49,69,68
"YER066C-A",133,214,68,56,73,79
"YER066W",12,12,9,25,23,27
"YER067C-A",305,528,124,137,151,136
"YER067W",467,829,186,166,208,244
"YER068C-A",18,4,10,6,14,12
"YER068W",100,96,40,77,82,108
"YER069W",140,103,75,100,124,127
"YER070W",149,67,94,57,52,61
"YER071C",33,34,9,27,25,37
"YER072W",141,109,74,55,60,63
"YER073W",29,38,15,29,34,25
"YER074W",195,141,71,50,50,41
"YER074W-A",63,64,25,36,34,34
"YER075C",59,37,16,87,108,102
"YER076C",15,8,2,5,14,2
"YER076W-A",3,0,2,1,2,3
"YER077C",43,35,11,29,23,31
"YER078C",113,82,48,59,61,68
"YER078W-A",1,2,1,2,1,1
"YER079C-A",15,13,14,10,17,9
"YER079W",57,115,22,78,75,100
"YER080W",99,126,33,106,138,128
"YER081W",133,134,58,100,122,99
"YER082C",53,50,10,34,33,52
"YER083C",40,57,31,37,34,34
"YER084W",6,7,3,3,2,4
"YER084W-A",2,2,4,5,4,6
"YER085C",4,9,2,2,5,6
"YER086W",140,65,66,67,63,56
"YER087C-A",15,16,10,8,13,17
"YER087C-B",139,112,68,67,80,106
"YER087W",31,24,15,35,36,38
"YER088C",157,292,82,248,239,252
"YER088C-A",3,4,6,5,4,3
"YER088W-B",5,4,3,5,1,1
"YER089C",32,27,27,24,18,18
"YER090C-A",15,3,7,4,7,9
"YER090W",139,93,106,69,67,76
"YER091C",651,365,494,497,549,481
"YER091C-A",1,3,1,0,0,2
"YER092W",60,72,29,19,24,35
"YER093C",91,71,34,103,120,118
"YER093C-A",31,20,7,15,21,16
"YER094C",198,171,102,110,122,141
"YER095W",100,57,78,62,63,57
"YER096W",28,24,34,35,31,32
"YER097W",2,4,2,2,9,3
"YER098W",80,68,22,48,65,69
"YER099C",61,51,46,104,103,94
"YER100W",112,101,43,50,70,82
"YER101C",23,20,21,71,67,58
"YER102W",98,52,25,24,26,20
"YER103W",473,814,205,68,107,82
"YER104W",29,25,13,17,17,27
"YER105C",180,122,104,195,173,202
"YER106W",7,14,2,7,9,8
"YER107C",56,35,30,34,31,38
"YER107W-A",19,4,8,9,13,7
"YER110C",171,93,118,173,162,158
"YER111C",102,125,15,61,77,73
"YER112W",71,93,7,27,13,34
"YER113C",34,28,34,27,49,41
"YER114C",77,66,44,90,118,116
"YER115C",13,22,3,10,12,12
"YER116C",50,35,21,40,54,57
"YER117W",337,214,159,70,105,100
"YER118C",49,44,21,12,26,24
"YER119C",4,12,5,35,28,19
"YER119C-A",24,4,10,17,7,16
"YER120W",127,96,96,85,95,85
"YER121W",10,16,1,4,12,10
"YER122C",137,137,51,63,79,104
"YER123W",91,55,24,48,56,74
"YER124C",155,132,57,53,50,48
"YER125W",233,180,207,312,334,330
"YER126C",57,40,18,15,19,29
"YER127W",51,45,10,15,32,20
"YER128W",4,21,5,16,10,13
"YER129W",129,103,35,121,150,162
"YER130C",67,51,24,32,36,46
"YER131W",212,190,69,40,54,67
"YER132C",103,89,46,190,212,231
"YER133W",383,469,121,260,344,360
"YER133W-A",17,10,2,14,16,17
"YER134C",17,19,10,30,31,21
"YER135C",6,3,2,1,2,1
"YER136W",245,144,121,239,268,271
"YER137C",9,13,1,1,5,11
"YER137C-A",0,0,0,0,0,0
"YER137W-A",1,6,2,1,3,1
"YER138C",0,0,0,0,0,0
"YER138W-A",0,0,0,0,0,0
"YER139C",30,18,7,20,23,20
"YER140W",58,45,25,55,63,57
"YER141W",522,357,398,1019,1059,1083
"YER142C",104,100,32,68,106,104
"YER143W",109,55,47,49,57,77
"YER144C",39,39,33,29,22,26
"YER145C",94,80,76,32,30,26
"YER145C-A",32,46,14,17,14,21
"YER146W",30,49,15,26,23,26
"YER147C",24,18,12,37,44,32
"YER147C-A",130,91,45,24,52,41
"YER148W",183,195,68,60,77,81
"YER148W-A",14,19,3,9,9,13
"YER149C",24,23,15,15,25,12
"YER150W",1055,1731,481,627,677,601
"YER151C",113,137,44,123,126,154
"YER152C",21,23,21,28,23,28
"YER152W-A",4,3,6,3,3,4
"YER153C",1,2,0,5,1,0
"YER154W",26,42,16,19,18,36
"YER155C",399,232,130,398,382,397
"YER156C",29,21,13,23,23,24
"YER157W",51,28,20,42,38,42
"YER158C",189,145,97,303,336,304
"YER158W-A",36,48,7,12,13,17
"YER159C",33,82,11,26,27,32
"YER159C-A",0,0,0,0,0,0
"YER160C",0,0,0,0,0,0
"YER161C",71,122,24,90,90,86
"YER162C",69,66,27,61,90,92
"YER163C",48,31,28,32,45,36
"YER164W",124,159,43,158,196,195
"YER165C-A",18,10,9,18,16,16
"YER165W",405,365,172,359,362,309
"YER166W",236,165,136,254,281,252
"YER167W",85,77,35,99,95,108
"YER168C",43,39,24,19,58,33
"YER169W",82,75,48,195,224,210
"YER170W",24,17,10,10,5,6
"YER171W",56,41,33,37,53,45
"YER172C",144,88,77,175,206,223
"YER172C-A",2,1,2,1,5,4
"YER173W",30,34,13,25,50,40
"YER174C",79,51,50,55,69,68
"YER175C",31,23,18,40,37,30
"YER175W-A",4,0,3,2,5,4
"YER176W",91,206,46,107,139,111
"YER177W",682,673,411,521,609,566
"YER178W",452,318,292,273,308,301
"YER179W",0,6,0,2,11,6
"YER180C",16,26,8,13,13,7
"YER180C-A",15,8,3,7,4,9
"YER181C",1,1,0,5,4,1
"YER182W",165,214,48,99,114,115
"YER183C",30,27,12,20,30,21
"YER184C",32,17,27,36,36,39
"YER185W",13,7,8,7,12,1
"YER186C",74,71,42,70,103,81
"YER187W",6,12,3,7,15,10
"YER188C-A",0,0,0,0,0,0
"YER188W",0,0,0,0,0,0
"YER189W",0,0,0,0,0,0
"YER190C-A",0,0,0,0,0,0
"YER190C-B",0,0,0,0,0,0
"YER190W",0,0,0,0,0,0
"YFL001W",22,24,7,9,17,17
"YFL002C",52,71,19,14,28,27
"YFL002W-A",0,0,0,0,0,0
"YFL002W-B",0,0,0,0,0,0
"YFL003C",14,15,1,10,13,17
"YFL004W",241,174,134,254,276,262
"YFL005W",158,133,136,132,116,144
"YFL007W",306,200,251,380,416,434
"YFL008W",138,198,38,56,71,80
"YFL009W",49,50,30,54,53,52
"YFL010C",46,47,37,21,29,18
"YFL010W-A",24,44,16,15,25,17
"YFL011W",1,2,3,0,2,1
"YFL012W",1,1,1,0,1,0
"YFL012W-A",3,0,0,3,6,6
"YFL013C",52,56,22,46,68,65
"YFL013W-A",24,41,7,22,42,32
"YFL014W",757,1496,265,443,655,803
"YFL015C",2,2,0,0,2,2
"YFL015W-A",0,0,0,2,0,0
"YFL016C",145,364,72,119,154,158
"YFL017C",17,24,10,4,10,11
"YFL017W-A",45,54,25,25,18,13
"YFL018C",560,510,307,201,255,209
"YFL019C",2,6,1,8,9,7
"YFL020C",2,0,0,1,1,1
"YFL021C-A",22,24,17,64,58,61
"YFL021W",70,98,41,218,219,202
"YFL022C",86,56,45,47,55,61
"YFL023W",101,146,17,70,77,69
"YFL024C",47,61,25,52,74,73
"YFL025C",62,36,38,41,44,39
"YFL026W",13,13,5,13,24,9
"YFL027C",47,26,29,27,33,25
"YFL028C",94,90,42,41,64,48
"YFL029C",18,31,10,26,29,35
"YFL030W",228,209,138,328,388,323
"YFL031C-A",18,17,23,19,13,9
"YFL031W",291,388,283,194,207,192
"YFL032W",28,29,40,15,12,14
"YFL033C",192,171,90,316,345,331
"YFL034C-A",64,56,15,24,24,23
"YFL034C-B",24,28,6,7,6,7
"YFL034W",72,99,28,65,115,104
"YFL036W",336,216,152,186,240,175
"YFL037W",124,83,60,55,45,52
"YFL038C",285,315,130,183,216,214
"YFL039C",1679,1253,1186,956,1013,910
"YFL040W",8,11,3,3,1,6
"YFL041W",98,90,74,86,73,86
"YFL041W-A",4,7,0,14,11,10
"YFL042C",52,55,39,87,98,87
"YFL044C",60,25,50,40,53,39
"YFL045C",195,143,111,89,84,64
"YFL046W",38,41,9,16,22,29
"YFL047W",26,31,11,19,15,25
"YFL048C",106,92,62,48,57,57
"YFL049W",63,65,23,39,58,68
"YFL050C",103,76,49,88,117,88
"YFL051C",4,10,5,0,5,3
"YFL052W",44,35,34,20,8,8
"YFL053W",17,11,7,2,3,0
"YFL054C",19,19,15,6,23,13
"YFL055W",7,3,5,7,5,9
"YFL056C",44,10,35,2,2,2
"YFL058W",0,0,0,0,0,0
"YFL059W",0,0,0,0,0,0
"YFL060C",0,0,0,0,0,0
"YFL061W",0,0,0,0,0,0
"YFL062W",0,0,0,1,0,0
"YFL063W",0,0,0,0,0,0
"YFL064C",0,0,0,0,0,0
"YFL065C",0,0,0,0,0,0
"YFL066C",0,0,0,0,0,0
"YFL067W",0,0,0,0,0,0
"YFL068W",0,0,0,0,0,0
"YFR001W",45,85,10,16,17,35
"YFR002W",152,103,60,71,82,85
"YFR003C",73,120,34,54,56,71
"YFR004W",195,219,78,76,106,103
"YFR005C",36,17,15,26,40,32
"YFR006W",253,166,145,207,253,220
"YFR007W",46,52,24,24,32,37
"YFR008W",9,17,6,9,11,13
"YFR009W",114,61,63,66,96,69
"YFR009W-A",0,0,0,0,0,0
"YFR010W",304,281,87,125,188,158
"YFR010W-A",112,127,29,18,19,36
"YFR011C",254,240,69,34,48,59
"YFR012W",1,5,0,0,3,3
"YFR012W-A",1,0,1,1,1,0
"YFR013W",45,52,17,52,65,51
"YFR014C",106,101,40,82,88,80
"YFR015C",118,183,74,22,18,19
"YFR016C",206,442,47,177,257,262
"YFR017C",84,148,64,211,206,144
"YFR018C",7,11,7,9,7,6
"YFR019W",103,95,64,103,114,115
"YFR020W",36,37,17,45,43,32
"YFR021W",40,28,19,48,43,41
"YFR022W",14,25,14,55,64,50
"YFR023W",7,4,1,5,11,3
"YFR024C-A",109,77,63,85,73,73
"YFR025C",63,54,29,54,54,46
"YFR026C",2,2,3,0,3,1
"YFR027W",15,19,5,4,7,9
"YFR028C",37,39,32,27,28,25
